Mineral Name,Mineral Name (plain),Mineral Name (HTML),Valence Chemistry,Valence Chemistry (concise),Valence Chemistry (HTML),IMA Chemistry (HTML),Chemistry Elements,RRUFF IDs,Database ID,Year First Published,IMA Status,Structural Groupname,Crystal Systems,Space Groups,Valence Elements,IMA Mineral Symbol,Paragenetic Modes,Mindat ID,Mindat Long ID,Mindat GUID,Mindat Updated,Mindat Entry Type,Mindat Entry Type Text,Mindat Formula,Mindat Formula Note,Mindat IMA Formula,Mindat IMA Status,Mindat IMA Notes,Mindat Description,Mindat Elements,Mindat Significant Elements,Mindat Key Elements,Mindat Discovery Year,Mindat Approval Year,Mindat Publication Year,Mindat IMA History,Mindat IMA Symbol,Mindat Strunz 10 Class,Mindat Strunz 10 Subclass,Mindat Strunz 10 Division,Mindat Strunz 10 Group,Mindat Dana 8 Class,Mindat Dana 8 Type,Mindat Dana 8 Group,Mindat Dana 8 Number,Mindat Colour,Mindat Streak,Mindat Lustre,Mindat Lustre Type,Mindat Diapheny,Mindat Hardness Minimum,Mindat Hardness Maximum,Mindat Hardness Type,Mindat Measured Density,Mindat Calculated Density,Mindat Crystal System,Mindat Crystal Class,Mindat Space Group,Mindat Unit Cell a,Mindat Unit Cell b,Mindat Unit Cell c,Mindat Unit Cell Alpha,Mindat Unit Cell Beta,Mindat Unit Cell Gamma,Mindat Unit Cell Volume,Mindat Cleavage,Mindat Cleavage Type,Mindat Fracture Type,Mindat Tenacity,Mindat Magnetism,Mindat Optical Type,Mindat Optical Sign,Mindat Optical Colour,Mindat Optical Birefringence,Mindat Optical 2V Calculated,Mindat Optical 2V Measured,Mindat Weighting
Cadsulfohite,Cadsulfohite,Cadsulfohite,Cd2(S6+O4)(OH)2,Cd_2_(S^6+^O_4_)(OH)_2_,Cd<sub>2</sub>(S<sup>6+</sup>O<sub>4</sub>)(OH)<sub>2</sub>,Cd<sub>2</sub>(SO<sub>4</sub>)(OH)<sub>2</sub>,Cd S O H,,7537,2025,"Approved, Pending publication",,monoclinic,P21/n,Cd S^6+ O H,Cdso,,471971,1:1:471971:3,,2026-04-10 19:43:23,0,mineral,Cd<sub>2</sub>(SO<sub>4</sub>)(OH)<sub>2</sub>,,Cd<sub>2</sub>(S<sup>6+</sup>O<sub>4</sub>)(OH)<sub>2</sub>,APPROVED; PENDING_PUBLICATION,,"Three other Cd sulfate minerals (all OH-free, but H2O-bearing) are currently (2025) known: Drobecite, lazaridisite, voudourisite.

Known synthetic analogue.",Cd; O; S; H,Cd; O; S; H,Cd,,2024,0,,Cdso,7,B,D,,,,,,,,,,,0.0,0.0,0,,,Monoclinic,5,0,6.9035,7.5844,9.9836,,97.225,,0.0,,,,,,,,,,,,26
Cadvanite,Cadvanite,Cadvanite,Cd(V5+O3)2,Cd(V^5+^O_3_)_2_,Cd(V<sup>5+</sup>O<sub>3</sub>)<sub>2</sub>,Cd(VO<sub>3</sub>)<sub>2</sub>,Cd V O,,7572,2025,"Approved, Pending publication",,monoclinic,C2/m,Cd V^5+ O,Cdv,,472218,1:1:472218:8,,2026-03-30 20:49:20,0,mineral,Cd(VO<sub>3</sub>)<sub>2</sub>,,Cd(V<sup>5+</sup>O<sub>3</sub>)<sub>2</sub>,APPROVED,,"Known synthetic analogue

a-CdV2O6, that are isostructural with cadvanite
 These are referred to as having pseudobrannerite-type structures",Cd; O; V,Cd; O; V,Cd; V,,2025,0,,Cdv,4,H,G,,,,,,brownish-yellow,pale yellow,,"Adamantine,Silky,Dull",,2.5,3.0,0,,4.210,Monoclinic,5,11,9.831,3.6220,7.051,,103.97,,0.0,"two cleavages, possibly [100] and [001].",Imperfect/Fair,Splintery,brittle,,Biaxial,,,,,,16
Cadwaladerite,Cadwaladerite,Cadwaladerite,"Al2(H2O)(OH)4·n(Cl,OH-,H2O)","Al_2_(H_2_O)(OH)_4_·n(Cl,OH^-^,H_2_O)","Al<sub>2</sub>(H<sub>2</sub>O)(OH)<sub>4</sub>·<i>n</i>(Cl,OH<sup>-</sup>,H<sub>2</sub>O)","Al<sub>2</sub>(H<sub>2</sub>O)(OH)<sub>4</sub>·<i>n</i>(Cl,OH<sup>-</sup>,H<sub>2</sub>O)",Al H O Cl,,1272,1941,"Approved, Redefined",,cubic,I213,Al H O Cl,Cwd,"Abiotic, Biotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic), Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals",845,1:1:845:1,ec15e89a-20ac-45eb-a69d-82706525dbcf,2025-08-11 12:14:19,0,mineral,"Al<sub>5</sub>(H<sub>2</sub>O)<sub>3</sub>(OH)<sub>12</sub>&middot;n(Cl,H<sub>2</sub>O)",,Al<sub>2</sub>(OH)<sub>5</sub>Cl·2H<sub>2</sub>O,APPROVED; GRANDFATHERED,REDEFINED,"It was demonstrated that cadwaladerite and lesukite are the same mineral species. Because cadwaladerite has historical precedence, it is recognized as a valid mineral species, whereas lesukite is discredited (IMA proposal 18-H), see Peterson et al. (20...",Al; Cl; O; H,Al; Cl; O; H,Cl,1941,0,1941,"2019: Redefined by IMA Al<sub>5</sub>(H<sub>2</sub>O)<sub>3</sub>(OH)<sub>12</sub>·n(Cl,H<sub>2</sub>O) (IMA proposal 18-H).  ",Cwd,3,B,D,05,10,5,1,1,Yellow,,Vitreous,Vitreous,Transparent,0.0,0.0,0,1.66,0,Isometric,28,196,19.840,0,0,0,0,0,0.0,,,Conchoidal,,,Isotropic,,,,0,0,132
Caesiumpharmacosiderite,Caesiumpharmacosiderite,Caesiumpharmacosiderite,CsFe3+4[(As5+O4)3(OH)4]·4H2O,CsFe^3+^_4_[(As^5+^O_4_)_3_(OH)_4_]·4H_2_O,CsFe<sup>3+</sup><sub>4</sub>[(As<sup>5+</sup>O<sub>4</sub>)<sub>3</sub>(OH)<sub>4</sub>]·4H<sub>2</sub>O,CsFe<sub>4</sub>[(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>4</sub>]·4H<sub>2</sub>O,Cs Fe As O H,,6252,2013,"Approved, Pending publication",Pharmacosiderite,cubic,P43m,Cs Fe^3+ As^5+ O H,Cpsd,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",46008,1:1:46008:6,1464294b-6e97-48c8-9289-98b19d72667c,2026-02-27 08:29:58,0,mineral,CsFe<sup>3+</sup><sub>4</sub>[(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>4</sub>]&middot;4H<sub>2</sub>O,,CsFe<sup>3+</sup><sub>4</sub>[(As<sup>5+</sup>O<sub>4</sub>)<sub>3</sub>(OH)<sub>4</sub>]·4H<sub>2</sub>O,APPROVED; PENDING_PUBLICATION,,"Unique combination of elements. First Cs-bearing arsenate mineral. Sixth natural crystalline oxysalt (discluding silicates) with species-defining Cs, the other species of this group being cesiodymite (sulphate), londonite, ramanite-(Cs) (borates), marg...",As; Cs; Fe; O; H,As; Cs; Fe; O; H,As; Cs,,2013,0,,Cpsd,8,C,J,,0,0,0,0,,,,,,0.0,0.0,0,,,Isometric,30,211,7.9637,,,,,,0.0,,,,,,,,,,,,36
Cafarsite,Cafarsite,Cafarsite,"(Ca,Na,☐)19Ti4+8Fe3+4Fe2+4(As3+O3)28F","(Ca,Na,[box])_19_Ti^4+^_8_Fe^3+^_4_Fe^2+^_4_(As^3+^O_3_)_28_F","(Ca,Na,☐)<sub>19</sub>Ti<sup>4+</sup><sub>8</sub>Fe<sup>3+</sup><sub>4</sub>Fe<sup>2+</sup><sub>4</sub>(As<sup>3+</sup>O<sub>3</sub>)<sub>28</sub>F","(Ca,Na,☐)<sub>19</sub>Ti<sub>8</sub>Fe<sup>3+</sup><sub>4</sub>Fe<sup>2+</sup><sub>4</sub>(AsO<sub>3</sub>)<sub>28</sub>F",Ca Na Ti Fe As O F,,1273,1965,Approved,,cubic,Pn3,Ca Na Ti^4+ Fe^3+ Fe^2+ As^3+ O F,Caf,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",849,1:1:849:7,f100404c-19ef-4968-8147-1af39cf031f7,2025-09-12 12:33:21,0,mineral,Ca<sub>5.9</sub>Mn<sub>1.7</sub>Fe<sub>3</sub>Ti<sub>3</sub>(AsO<sub>3</sub>)<sub>12</sub>&middot;4-5H<sub>2</sub>O,"Chemical formula soon to be changed to either Ca<sub>16</sub>(Na,Fe<sup>2+</sup>,REE)(Ti,Fe<sup>3+</sup>,Fe<sup>2+</sup>,Mn<sup>2+</sup>,Al)<sub>16</sub>(AsO<sub>3</sub>)<sub>28</sub>F or Ca<sub>16</sub>(Na,Fe<sup>2+</sup>,REE)(Ti,Fe<sup>3+</sup>,Al)<sub>12</sub>(Fe<sup>2+</sup>,Mn)<sub>4</sub>(AsO<sub>3</sub>)<sub>28</sub>F. Fluorine is essential.","(Ca,Na,&#9723;)<sub>19</sub>Ti<sup>4+</sup><sub>8</sub>Fe<sup>3+</sup><sub>4</sub>Fe<sup>2+</sup><sub>4</sub>(As<sup>3+</sup>O<sub>3</sub>)<sub>28</sub>F",APPROVED,,,As; Ca; Fe; Mn; Ti; O; H,As; Ca; Fe; Mn; Ti; O; H,As; Ti,1966,1965,0,,Caf,4,J,C,05,45,1,4,1,Dark brown,Yellow-brown,,,Opaque,5.5,6.0,0,3.9,3.5,Isometric,29,206,15.984,0,0,0,0,0,0.0,,,Conchoidal,,,Isotropic,,,,0,0,2395
Cafeosite,Cafeosite,Cafeosite,Ca4Fe2+3Fe3+2 ☐O6S2-4,Ca_4_Fe^2+^_3_Fe^3+^_2_ [box]O_6_S^2-^_4_,Ca<sub>4</sub>Fe<sup>2+</sup><sub>3</sub>Fe<sup>3+</sup><sub>2</sub> ☐O<sub>6</sub>S<sup>2-</sup><sub>4</sub>,Ca<sub>4</sub>Fe<sup>2+</sup><sub>3</sub>Fe<sup>3+</sup><sub>2</sub> ☐O<sub>6</sub>S<sub>4</sub>,Ca Fe O S,,7434,2024,"Approved, Pending publication",,orthorhombic,Cmca,Ca Fe^2+ Fe^3+ O S^2-,Cfo,,470994,1:1:470994:3,,2025-08-11 12:15:25,0,mineral,Ca<sub>4</sub>Fe<sup>2+</sup><sub>3</sub>Fe<sup>3+</sup><sub>2</sub>&#9723;O<sub>6</sub>S<sub>4</sub>,(□1−xFex) denotes structural vacancy partially occupied by semimetallic-type Fe (x = 0.2–0.3),Ca<sub>4</sub>Fe<sup>2+</sup><sub>3</sub>Fe<sup>3+</sup><sub>2</sub> &#9723;O<sub>6</sub>S<sup>2-</sup><sub>4</sub>,APPROVED,,"Known synthetic analogue

A natural iron-bearing oxysulfide, named сafeosite after its chemical composition, is a unique example of a mineral that simultaneously contains iron in three oxidation states: Fe3+, Fe2+, and intermediate between Fe2+ and F...",Ca; Fe; O; S,Ca; Fe; O; S,,,2024,0,,Cfo,2,M,A,15,,,,,,,,,,0.0,0.0,0,,,Orthorhombic,8,64,17.4856,11.1516,11.1543,,,,0.0,,,,,,,, gray,,,,1
Cafetite,Cafetite,Cafetite,CaTi4+2O5·H2O,CaTi^4+^_2_O_5_·H_2_O,CaTi<sup>4+</sup><sub>2</sub>O<sub>5</sub>·H<sub>2</sub>O,CaTi<sub>2</sub>O<sub>5</sub>·H<sub>2</sub>O,Ca Ti O H,,1274,1959,Approved,,"orthorhombic, monoclinic",P21/n,Ca Ti^4+ O H,Cft,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism",850,1:1:850:3,b0ee6035-38f4-4f5a-90f5-be09296c46f0,2025-08-11 12:14:19,0,mineral,CaTi<sub>2</sub>O<sub>5</sub>&middot;H<sub>2</sub>O,"Originally reported as (Ca,Mg)(Fe,Al)2Ti4O12.4H2O; name reflects Fe content, since found to be non-essential.",CaTi<sup>4+</sup><sub>2</sub>O<sub>5</sub>·H<sub>2</sub>O,APPROVED,,,Ca; Ti; O; H,Ca; Ti; O; H,Ti,1959,0,1959,,Cft,4,F,L,75,8,7,3,1,"yellow, colourless",white,,Adamantine,Transparent,4.0,5.0,0,3.28,3.14,Monoclinic,5,14,4.9436,12.109,15.911,0,98.937,0,940.9,Two cleavage planes,Distinct/Good,,brittle,,Biaxial,-,,,48,36.5,167
Cahnite,Cahnite,Cahnite,Ca2B(As5+O4)(OH)4,Ca_2_B(As^5+^O_4_)(OH)_4_,Ca<sub>2</sub>B(As<sup>5+</sup>O<sub>4</sub>)(OH)<sub>4</sub>,Ca<sub>2</sub>B(AsO<sub>4</sub>)(OH)<sub>4</sub>,Ca B As O H,,1275,1927,"Approved, Grandfathered",Zircon,tetragonal,I4,Ca B As^5+ O H,Cah,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, Stage 7: Great Oxidation Event, PM46 - Near-surface hydrothermal alterations",851,1:1:851:2,06c3f907-587f-4421-bbb9-824bb0c3f732,2025-08-11 12:14:19,0,mineral,Ca<sub>2</sub>[B(OH)<sub>4</sub>](AsO<sub>4</sub>),,Ca<sub>2</sub>B(As<sup>5+</sup>O<sub>4</sub>)(OH)<sub>4</sub>,APPROVED; GRANDFATHERED,,Related to Moydite-(Y).,As; Ca; B; O; H,As; Ca; B; O; H,As; B,1921,0,1927,,Cah,6,A,C,70,43,4,4,1,"Colorless to white, golden brown",White,,"Vitreous,Sub-Vitreous,Resinous","Transparent,Translucent",3.0,3.0,0,3.156,3.22,Tetragonal,21,128,7.09,0,6.19,0,0,0,0.0,On {110},Perfect,"Irregular/Uneven,Sub-Conchoidal",brittle,,Uniaxial,+,,0.001,0,0,1020
Cairncrossite,Cairncrossite,Cairncrossite,Sr2Ca7-xNa2x(Si4O10)4(OH)2(H2O)15-x,Sr_2_Ca_7-x_Na_2x_(Si_4_O_10_)_4_(OH)_2_(H_2_O)_15-x_,Sr<sub>2</sub>Ca<sub>7-x</sub>Na<sub>2x</sub>(Si<sub>4</sub>O<sub>10</sub>)<sub>4</sub>(OH)<sub>2</sub>(H<sub>2</sub>O)<sub>15-x</sub>,Sr<sub>2</sub>Ca<sub>7-x</sub>Na<sub>2x</sub>(Si<sub>4</sub>O<sub>10</sub>)<sub>4</sub>(OH)<sub>2</sub>(H<sub>2</sub>O)<sub>15-x</sub>,Sr Ca Na Si O H,,6175,2013,Approved,Gyrolite,triclinic,,Sr Ca Na Si O H,Ccs,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics",43802,1:1:43802:3,67b932c4-1349-4114-aa1a-54e37b544144,2025-08-11 12:15:10,0,mineral,Sr<sub>2</sub>Ca<sub>7-x</sub>Na<sub>2x</sub>(Si<sub>4</sub>O<sub>10</sub>)<sub>4</sub>(OH)<sub>2</sub>(H<sub>2</sub>O)<sub>15-x</sub>,"(with 0 ≤ x ≤ 1)
simplified formula of Na-rich crystals: SrCa<sub>3</sub>Na(Si<sub>4</sub>O<sub>10</sub>)<sub>2</sub>(OH)(H<sub>2</sub>O)<sub>7</sub> (Z = 2).
",Sr<sub>2</sub>Ca<sub>7-x</sub>Na<sub>2x</sub>(Si<sub>4</sub>O<sub>10</sub>)<sub>4</sub>(OH)<sub>2</sub>(H<sub>2</sub>O)<sub>15-x</sub>,APPROVED,,"Belongs to both the Gyrolite and Reyerite groups. The combination of elements in the mineral is unique.

The structure is based on sheets of edge-sharing CaO6 octahedra. The sheets link by corners, on both sides, to silicate layers. Layers of paired ...",Ca; Na; Si; Sr; O; H,Ca; Na; Si; Sr; O; H,Sr,,2013,2016,,Ccs,9,E,E,,,,,,Colourless,White,,"Vitreous,Pearly","Transparent,Translucent",3.0,3.0,0,,2.846,Triclinic,2,2,9.6265,9.6391,15.6534,100.89,91.27,119.73,1227.08,Parallel to (001),Perfect,,sectile,,Biaxial,+,,,44.97,33.9,44
Calamaite,Calamaite,Calamaite,Na2Ti4+O(S6+O4)2·2H2O,Na_2_Ti^4+^O(S^6+^O_4_)_2_·2H_2_O,Na<sub>2</sub>Ti<sup>4+</sup>O(S<sup>6+</sup>O<sub>4</sub>)<sub>2</sub>·2H<sub>2</sub>O,Na<sub>2</sub>TiO(SO<sub>4</sub>)<sub>2</sub>·2H<sub>2</sub>O,Na Ti O S H,,6564,2016,Approved,Not in a structural group,orthorhombic,Ibam,Na Ti^4+ O S^6+ H,Clm,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",50334,1:1:50334:5,49a3453e-f0c6-4877-a35b-ae17c5c1edf7,2026-02-12 13:16:58,0,mineral,Na<sub>2</sub>TiO(SO<sub>4</sub>)<sub>2</sub>&middot;2H<sub>2</sub>O,,Na<sub>2</sub>Ti<sup>4+</sup>O(S<sup>6+</sup>O<sub>4</sub>)<sub>2</sub>·2H<sub>2</sub>O,APPROVED,,New structure type. Third Ti-dominant sulfate mineral after alcaparrosaite and innelite; second purely sulfate Ti-rich mineral.,Na; Ti; O; S; H,Na; Ti; O; S; H,Ti,,2016,2018,,Clm,7,D,F,50,,,,,"Colorless (isolated crystals) , white (aggregates)",,,Vitreous,Transparent,3.0,3.0,0,,2.45,Orthorhombic,8,55,16.0989,16.2399,7.0135,,,,1833.6,On (001),Distinct/Good,,brittle,,Biaxial,+,,,,30,43
Calaverite,Calaverite,Calaverite,AuTe2,AuTe_2_,AuTe<sub>2</sub>,AuTe<sub>2</sub>,Au Te,,1276,1868,"Approved, Grandfathered",Melonite,monoclinic,"P2/c, Pc, C2/m",Au Te,Clv,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",852,1:1:852:1,dbbcdf02-0e7e-48c5-a374-6ce675b2f09d,2026-02-07 17:49:25,0,mineral,AuTe<sub>2</sub>,,AuTe<sub>2</sub>,APPROVED; GRANDFATHERED,,"Closely related to krennerite.

Calaverite has no cleavage. The perfect cleavage on krennerite is parallel to {001}. Sylvanite has a cleavage parallel to {010} along the length of the crystal.",Au; Te,Au; Te,Au; Te,1861,0,1868,,Clv,2,E,A,10,2,12,13,2,Brass yellow to silver white,Greenish to yellowish gray,,Metallic,Opaque,2.5,3.0,0,9.1,9.31,Monoclinic,0,0,7.19,4.4,5.08,0,90.3,0,0.0,,,"Irregular/Uneven,Sub-Conchoidal",brittle,,,,White,,0,0,2339
Calciborite,Calciborite,Calciborite,CaB2O4,CaB_2_O_4_,CaB<sub>2</sub>O<sub>4</sub>,CaB<sub>2</sub>O<sub>4</sub>,Ca B O,,1277,1956,"Approved, Grandfathered",,orthorhombic,Pccn,Ca B O,Cbo,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism",854,1:1:854:9,d4facc32-ebf9-4f9b-ab5c-bcd925fce6c6,2025-08-11 12:14:19,0,mineral,Ca(B<sub>2</sub>O<sub>4</sub>),,CaB<sub>2</sub>O<sub>4</sub>,APPROVED; GRANDFATHERED,,"Calcium metaborate.

Compare the hydrated calcium borate korzhinskite.",Ca; B; O,Ca; B; O,B,1955,0,0,,Cbo,6,B,C,10,24,5,2,1,Colorless to white,,,,"Transparent,Translucent",3.5,3.5,0,2.878,2.88,Orthorhombic,8,66,8.38,13.82,5.00,0,0,0,0.0,,,"Irregular/Uneven,Conchoidal",,,Biaxial,-,,,52,54,57
Calcinaksite,Calcinaksite,Calcinaksite,KNaCa(Si4O10)·H2O,KNaCa(Si_4_O_10_)·H_2_O,KNaCa(Si<sub>4</sub>O<sub>10</sub>)·H<sub>2</sub>O,KNaCa(Si<sub>4</sub>O<sub>10</sub>)·H<sub>2</sub>O,K Na Ca Si O H,,6240,2013,Approved,Litidionite,triclinic,P1,K Na Ca Si O H,Cnk,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism",45972,1:1:45972:5,aa66c593-c678-43a4-9f4b-a70adb86b147,2025-08-11 12:15:13,0,mineral,KNaCa(Si<sub>4</sub>O<sub>10</sub>)&middot;H<sub>2</sub>O,,KNaCa(Si<sub>4</sub>O<sub>10</sub>)·H<sub>2</sub>O,APPROVED,,,Ca; Na; Si; O; K; H,Ca; Na; Si; O; K; H,,,2013,0,,Cnk,9,D,G,,0,0,0,0,Colorless to light gray,,,,,5.0,5.0,0,2.62,2.623,Triclinic,2,2,7.021,8.250,10.145,102.23,100.34,115.09,0.0,perfect on {001} and less perfect on {010},Perfect,,brittle,,Biaxial,+,,,,75,18
Calcioancylite-(Ce),Calcioancylite-(Ce),Calcioancylite-(Ce),"(Ce3+,Ca,Sr)(CO3)(OH,H2O)","(Ce^3+^,Ca,Sr)(CO_3_)(OH,H_2_O)","(Ce<sup>3+</sup>,Ca,Sr)(CO<sub>3</sub>)(OH,H<sub>2</sub>O)","(Ce,Ca,Sr)(CO<sub>3</sub>)(OH,H<sub>2</sub>O)",Ce Ca Sr C O H,,1278,1922,"Approved, Renamed",Ancylite,"orthorhombic, monoclinic","Pmmm, Pmcn, Pm",Ce^3+ Ca Sr C O H,Canc-Ce,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",855,1:1:855:8,0b8e3315-4cad-4e78-9b4d-071a0f2d5861,2025-09-14 19:53:30,0,mineral,"(Ce,Ca,Sr)CO<sub>3</sub>(OH,H<sub>2</sub>O)",,"(Ce<sup>3+</sup>,Ca,Sr)(CO<sub>3</sub>)(OH,H<sub>2</sub>O)",APPROVED; GRANDFATHERED,,"The calcium analogue of ancylite-(Ce). 
The cerium analogue of calcioancylite-(Nd) and calcioancylite-(La).

Note: The precise type locality is unknown - the mineral was found at an unspecified place in ""Western Lands"" (Western Russia or possibly Fi...",Ca; Ce; Sr; O; C; H,Ce; O; C; H,Ce,,0,0,,Canc-Ce,5,D,C,05,16b,1,1,2,"Colourless, white, pale pink, pink, grey",,,"Vitreous,Greasy",Translucent,4.0,4.5,0,0,0,Orthorhombic,8,0,5.0095,8.5006,7.2670,0,0,0,309.46,,None Observed,Splintery,brittle,,Biaxial,-,,,66,60,780
Calcioancylite-(La),Calcioancylite-(La),Calcioancylite-(La),(LaCa)(CO3)2(OH)(H2O),(LaCa)(CO_3_)_2_(OH)(H_2_O),(LaCa)(CO<sub>3</sub>)<sub>2</sub>(OH)(H<sub>2</sub>O),(LaCa)(CO<sub>3</sub>)<sub>2</sub>(OH)(H<sub>2</sub>O),La Ca C O H,,7196,2022,Approved,Ancylite,orthorhombic,Pmcn,La Ca C O H,Canc-La,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",55761,1:1:55761:0,563c036a-7c95-4d5b-8f54-6bbf1f2e7ff2,2025-09-14 15:26:56,0,mineral,(LaCa)(CO<sub>3</sub>)<sub>2</sub>(OH)&middot;H<sub>2</sub>O,,(LaCa)(CO<sub>3</sub>)<sub>2</sub>(OH)(H<sub>2</sub>O),APPROVED,,,Ca; La; O; C; H,Ca; La; O; C; H,La,,2021,0,,Canc-La,5,D,C,,,,,,colourless to pale pinkish gray,white,,Vitreous,"Transparent,Translucent",4.0,0.0,0,, 4.324,Orthorhombic,8,0,5.0253,8.5152,7.2717,,,,0.0,,None Observed,Irregular/Uneven,brittle,,Biaxial,-,,,73,70,4
Calcioancylite-(Nd),Calcioancylite-(Nd),Calcioancylite-(Nd),Nd2.8Ca1.2(CO3)4(OH)3·H2O,Nd_2.8_Ca_1.2_(CO_3_)_4_(OH)_3_·H_2_O,Nd<sub>2.8</sub>Ca<sub>1.2</sub>(CO<sub>3</sub>)<sub>4</sub>(OH)<sub>3</sub>·H<sub>2</sub>O,Nd<sub>2.8</sub>Ca<sub>1.2</sub>(CO<sub>3</sub>)<sub>4</sub>(OH)<sub>3</sub>·H<sub>2</sub>O,Nd Ca C O H,,1279,1989,"Approved, Renamed",Ancylite,monoclinic,Pm,Nd Ca C O H,Canc-Nd,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",856,1:1:856:7,58c42630-c4e3-4f72-8191-56b5ae06e1a2,2026-02-03 14:22:46,0,mineral,"Ca(Nd,La,Ce)(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>.</sub>H<sub>2</sub>O",,Nd<sub>2.8</sub>Ca<sub>1.2</sub>(CO<sub>3</sub>)<sub>4</sub>(OH)<sub>3</sub>·H<sub>2</sub>O,APPROVED,,"The Nd analogue of calcioancylite-(Ce) and calcioancylite-(La). 
The Ca analogue of gysinite-(Nd).",Ca; Ce; La; Nd; O; C; H,Ca; Nd; O; C; H,Nd,,1989,1990,,Canc-Nd,5,D,C,05,16b,1,1,3,Pale pink,White,,Vitreous,Transparent,4.0,4.5,0,4.02,4.08,Monoclinic,3,6,7.212,4.976,8.468,0,90.04,0,0.0,,,Irregular/Uneven,brittle,,Biaxial,-,,,70,70,170
Calcioandyrobertsite,Calcioandyrobertsite,Calcioandyrobertsite,KCaCu2+5(As5+O4)4[As5+(OH)2O2]·2H2O,KCaCu^2+^_5_(As^5+^O_4_)_4_[As^5+^(OH)_2_O_2_]·2H_2_O,KCaCu<sup>2+</sup><sub>5</sub>(As<sup>5+</sup>O<sub>4</sub>)<sub>4</sub>[As<sup>5+</sup>(OH)<sub>2</sub>O<sub>2</sub>]·2H<sub>2</sub>O,KCaCu<sub>5</sub>(AsO<sub>4</sub>)<sub>4</sub>[As(OH)<sub>2</sub>O<sub>2</sub>]·2H<sub>2</sub>O,K Ca Cu As O H,,1280,1997,"Approved, Renamed",Andyrobertsite,orthorhombic,Pnma,K Ca Cu^2+ As^5+ O H,Carb,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",6840,1:1:6840:2,6fb47bd0-7b18-4cd4-b79b-f05bf00cfe8a,2025-08-11 12:14:27,0,mineral,KCaCu<sub>5</sub>(AsO<sub>4</sub>)<sub>4</sub>(H<sub>2</sub>AsO<sub>4</sub>)&middot;2H<sub>2</sub>O,,KCaCu<sup>2+</sup><sub>5</sub>(As<sup>5+</sup>O<sub>4</sub>)<sub>4</sub>[As<sup>5+</sup>(OH)<sub>2</sub>O<sub>2</sub>]·2H<sub>2</sub>O,APPROVED,,"The Ca analogue of andyrobertsite.

1M and 2O polytypes are known, and they were originally approved separately as IMA1997-022 and IMA2000-011, respectively. Type locality for both is Tsumeb. 

Structurally related to the Lavendulan Group.",As; Ca; Cu; O; K; H,As; Ca; Cu; O; K; H,As; Cu,,1997,1999,,Carb,8,D,H,50,0,0,0,0,"Intensely blue, electric blue",,Vitreous,Vitreous,,3.0,3.0,3,0,4.011,Monoclinic,5,15,9.81,10.034,9.975,,101.84,,960.98,(100),Distinct/Good,Conchoidal,brittle,,Biaxial,-,,,48,50,134
