mineral_index,Mineral Name,Derived Strunz Top-Level,Structural Groupname,Crystal Systems,MDS 1,MDS 2,MDS 3
4647,Rabejacite,07,,orthorhombic,-0.24253160783231772,-0.2933645727689809,-0.29463033976702746
4648,Raberite,02,Not in a structural group,triclinic,0.6966254581832362,-0.02053191476686511,0.005330749899034301
4649,Radekškodaite-(Ce),09,Radekškodaite,monoclinic,-0.17300333974629928,-0.17428810070313702,0.03655025765983133
4650,Radekškodaite-(La),09,Radekškodaite,monoclinic,-0.16892184943747882,-0.1745836611069882,0.030146817473796834
4651,Radhakrishnaite,02,,tetragonal,0.6530019448251088,-0.0007039918967555459,-0.028768185758846862
4652,Radovanite,08,,orthorhombic,-0.21589733099210887,-0.18754401032092455,0.31808838637669656
4653,Radtkeite,02,,monoclinic,0.6642443912973753,0.02045096021016564,-0.020780699548224223
4654,Radvaniceite,02,,monoclinic,0.6643783974455273,-0.025042915595470363,0.0022005511895631623
4655,Raguinite,02,Raguinite,monoclinic,0.6453669913967889,-0.026824317469206386,0.026345358461911973
4656,Raisaite,07,Not in a structural group,monoclinic,-0.2275304668999087,-0.27918711816509045,-0.23662364268308606
4657,Raite,09,,monoclinic,0.5987577207527219,-0.12780251227207934,0.05372882147674862
4658,Rajite,04,,monoclinic,0.6402322379675477,-0.06971790238492231,-0.03362619110737773
4659,Rakovanite,04,Pascoite,monoclinic,0.6144772254608939,-0.18149696816071142,0.037613904266150744
4660,Ralphcannonite,02,Routhierite,tetragonal,0.6524669800759819,0.003718926627009624,0.025013490726789468
4661,Ramaccioniite,07,Brochantite,monoclinic,-0.21051504111086322,-0.2669849404915228,-0.25375582935106017
4662,Ramanite-(Cs),06,Santite,monoclinic,0.607807452825263,-0.16051836763949043,0.03312172754373312
4663,Ramanite-(Rb),06,Santite,orthorhombic,0.6080938373295519,-0.15998582997643376,0.03117164405473916
4664,Ramazzoite,05,Not in a structural group,cubic,-0.22686332924568745,-0.2929237078649337,-0.013171449658176234
4665,Rambergite,02,Wurtzite,hexagonal,0.6268812800631536,0.015582766565254532,0.019486804575739373
4666,Ramdohrite,02,Lillianite,"orthorhombic, monoclinic",0.6657119775361822,-0.026021409128892455,-0.007561832480742133
4667,Rameauite,04,Compreignacite,monoclinic,0.6234430176083728,-0.23429948639892778,0.03464883881299535
4668,Ramikite-(Y),05,Not in a structural group,triclinic,-0.2291705285608981,-0.13892850215354163,0.27441587929412964
4669,Rammelsbergite,02,Marcasite,orthorhombic,0.6570445737228443,0.15169717397982954,0.0424586360296077
4670,Ramosite,02,Cylindrite,monoclinic,0.6493373418345756,-0.03171287114817319,-0.022546311020501388
4671,Ramsbeckite,07,,monoclinic,-0.22925137992053857,-0.2974283322086165,-0.27597540907809015
4672,Ramsdellite,04,Ramsdellite,orthorhombic,0.6416444234333953,-0.034359949737643246,0.05779581717301911
4673,Ranciéite,04,,hexagonal,0.6206096770442573,-0.04144717203085793,0.0589755405428669
4674,Rankachite,07,,"orthorhombic, monoclinic",0.5876045919784041,-0.0996215220919485,0.05188159007527288
4675,Rankamaite,04,,orthorhombic,0.6155127260404514,-0.1757652898058668,0.041633528006230686
4676,Rankinite,09,,monoclinic,0.6107950710355587,-0.02412081705313327,0.008395167331648442
4677,Ransomite,07,,monoclinic,-0.3504563936398208,0.257098898696128,-0.34958401094028313
4678,Ranunculite,08,,monoclinic,-0.22842268641882227,-0.25234369310648114,0.31075175867780824
4679,Rapidcreekite,05,,orthorhombic,-0.3384703732113488,0.24310884212375986,-0.2745229232463984
4680,Rappoldite,08,Natrochalcite-Helmutwinklerite,triclinic,-0.3586484915660676,0.3459592870647358,0.2732970668394238
4681,Raslakite,09,Eudialyte,hexagonal,0.5989993955131376,-0.12015705815992372,0.054656013785393726
4682,Rasmussenite,10,Glycolate,triclinic,0.5998625612456424,-0.15092341258101485,0.025762765655281898
4683,Raspite,07,Raspite,monoclinic,-0.28157444003262905,0.39581611922034754,-0.1297699610562026
4684,Rastsvetaevite,09,Eudialyte,hexagonal,0.5984826038254968,-0.08183662100452163,0.04548936924298576
4685,Rasvumite,02,Cubanite,orthorhombic,0.6021394844583314,-0.020532087261065035,0.039578168376523545
4686,Rathite,02,Sartorite,monoclinic,0.6583988125859555,-0.004243236218762908,-0.0470639477542287
4687,Rathite-IV,02,Sartorite,,0.6591711010560369,0.006624732694689332,-0.026305718346066022
4688,Rauchite,08,Autunite,triclinic,-0.25829848455870047,-0.20753960984580794,0.3648774907834692
4689,Raudseppite,09,Not in a structural group,triclinic,-0.17307696980392456,-0.14973581478241238,-0.05603114406811272
4690,Rauenthalite,08,,triclinic,-0.3583032270174451,0.324612148130301,0.29342546670753705
4691,Rauvite,04,,,0.6584223757530219,-0.16669741513809794,0.01875588796255461
4692,Ravatite,10,,monoclinic,0.6346019883586274,-0.026809861586071567,0.015104871306526596
4693,Raydemarkite,07,,triclinic,-0.31691943635933467,0.44156915152543513,-0.141587868398789
4694,Raygrantite,09,Iranite,triclinic,-0.21759362206072036,-0.21097752076783066,-0.25094234243294666
4695,Rayite,02,,,0.6624895881931724,-0.03051401359964327,-0.02022486331782359
4696,Realgar,02,,monoclinic,0.7915538131466198,0.04413866111451163,-0.02718631903883745
4697,Reaphookhillite,08,Parahopeite,triclinic,-0.3642227795411112,0.3342506937238815,0.3022193251256507
4698,Rebulite,02,,monoclinic,0.6895768486168385,-0.006247403367649909,0.014497722157403116
4699,Reckibachite,02,Sartorite,monoclinic,0.6573669481216011,-0.007132313800941438,-0.03332360516410552
4700,Rectorite,09,"Corrensite, Clay",,0.6011389530912014,-0.12646632794101928,0.01696951983127913
4701,Redcanyonite,07,Zippeite,monoclinic,-0.2326308084821423,-0.3048776057058283,-0.26150423267189304
4702,Reddingite,08,Reddingite,orthorhombic,-0.368675876388177,0.3585462051984184,0.30585885996678114
4703,Redgillite,07,,monoclinic,-0.2189111434893016,-0.28045344071923844,-0.26871271719012324
4704,Redingtonite,07,Halotrichite,,-0.3055081815340602,-0.06779347020639326,-0.32253628680921864
4705,Redledgeite,04,Coronadite,tetragonal,0.6640815883371186,-0.07043620642741297,0.04694121479415752
4706,Redmondite,07,Redmondite,monoclinic,-0.20233488212818923,-0.2563173023363375,-0.3045578830706829
4707,Redondite,08,,,-0.33527267147713324,0.3273991957588848,0.29152463517458177
4708,Reederite-(Y),05,,hexagonal,-0.20860311833662087,-0.05961664647471637,-0.07234673908321211
4709,Reedmergnerite,09,Feldspar,triclinic,0.6264483331182973,-0.03336071657584444,0.01869256180254849
4710,Reevesite,05,Hydrotalcite,hexagonal,-0.1881250802134377,-0.284390837618544,-0.02730755064246655
4711,Refikite,10,,orthorhombic,0.6319983440506795,-0.043413322238309286,0.016309407991527088
4712,Regerite,08,Not in a structural group,monoclinic,-0.25541207156505663,-0.21611941174652402,0.3540135597458371
4713,Reichenbachite,08,,monoclinic,-0.22970002854118643,-0.18812919260708105,0.3121262221425058
4714,Reidite,09,,tetragonal,-0.2682509059411732,0.357849625573035,-0.008565675462434532
4715,Reinerite,04,,orthorhombic,-0.34032619825055166,0.36413040011338577,0.27392260964019877
4716,Reinhardbraunsite,09,Humite,monoclinic,-0.17900345430235542,-0.1849314656317217,0.029280811544522174
4717,Relianceite-(K),10,Oxalate,monoclinic,-0.23594151456487422,-0.20484959372352843,0.3301850497956432
4718,Rémondite-(Ce),05,Burbankite,orthorhombic,-0.28258203057371906,0.2743536650383481,-0.08285951636664791
4719,Rémondite-(La),05,Burbankite,monoclinic,-0.2790212439397519,0.2746340405674747,-0.08552819389767602
