source_index,target_index,neighbor_rank,distance,relationship_category,relationship_description,raw_anion_group,raw_cations,raw_extra_anions,raw_hydration,raw_structural_water,raw_structure,weighted_anion_group,weighted_cations,weighted_extra_anions,weighted_hydration,weighted_structural_water,weighted_structure
4830,1404,2,0.03679245337843895,cation_analogue,Same anion framework with cation substitution; valence evidence may be incomplete.,0.0,0.06103773584905653,0.01375,0.0,0.0,0.75,0.0,0.020142452830188656,0.00165,0.0,0.0,0.015
4830,1295,3,0.03966005891561508,cation_analogue,Same anion framework with cation substitution; valence evidence may be incomplete.,0.0,0.06802279874213832,0.018437801350048213,0.0,0.0,0.75,0.0,0.022447523584905645,0.0022125361620057853,0.0,0.0,0.015
4830,4433,4,0.04001999273896217,distant_analogue,No more specific rule applies at the selected neighbourhood scale.,0.0,0.061717974180734804,0.038775510204081584,0.0,0.0,0.75,0.0,0.020366931479642487,0.00465306122448979,0.0,0.0,0.015
4830,4310,5,0.04274493083357811,cation_analogue,Same anion framework with cation substitution; valence evidence may be incomplete.,0.0,0.0780149371069182,0.01666666666666666,0.0,0.0,0.75,0.0,0.02574492924528301,0.001999999999999999,0.0,0.0,0.015
4830,4780,6,0.04448024556040764,cation_analogue,Same anion framework with cation substitution; valence evidence may be incomplete.,0.0,0.08698113207547167,0.006470588235294118,0.0,0.0,0.75,0.0,0.028703773584905654,0.000776470588235294,0.0,0.0,0.015
4830,5551,7,0.04492943733930588,cation_analogue,Same anion framework with cation substitution; valence evidence may be incomplete.,0.0,0.08834231805929915,0.006470588235294118,0.0,0.0,0.75,0.0,0.029152964959568723,0.000776470588235294,0.0,0.0,0.015
4830,3480,8,0.045966170728206635,cation_analogue,Same anion framework with cation substitution; valence evidence may be incomplete.,0.0,0.0914839367669556,0.006470588235294118,0.0,0.0,0.75,0.0,0.030189699133095348,0.000776470588235294,0.0,0.0,0.015
4830,4478,9,0.04613024368882179,cation_analogue,Same anion framework with cation substitution; valence evidence may be incomplete.,0.0,0.09198113207547168,0.006470588235294118,0.0,0.0,0.75,0.0,0.030353773584905656,0.000776470588235294,0.0,0.0,0.015
4830,3710,10,0.05001259595155716,distant_analogue,No more specific rule applies at the selected neighbourhood scale.,0.0,0.09198113207547168,0.03882352941176471,0.0,0.0,0.75,0.0,0.030353773584905656,0.004658823529411765,0.0,0.0,0.015
4831,1655,1,0.029519999399781227,distant_analogue,No more specific rule applies at the selected neighbourhood scale.,0.0,0.044000000000000004,0.0,0.0,0.0,0.75,0.0,0.014520000000000002,0.0,0.0,0.0,0.015
4831,3325,2,0.07647352665662766,coupled_substitution,Coordinated cation and residual-anion substitutions in one anion framework.,0.0,0.10500000000000004,0.22352941176470587,0.0,0.0,0.75,0.0,0.034650000000000014,0.026823529411764704,0.0,0.0,0.015
4831,5720,3,0.0793764740228653,cation_analogue,Same anion framework with cation substitution; valence evidence may be incomplete.,0.0,0.19,0.013970588235294068,0.0,0.0,0.75,0.0,0.0627,0.0016764705882352882,0.0,0.0,0.015
4831,5833,4,0.0793764740228653,cation_analogue,Same anion framework with cation substitution; valence evidence may be incomplete.,0.0,0.19,0.013970588235294068,0.0,0.0,0.75,0.0,0.0627,0.0016764705882352882,0.0,0.0,0.015
4831,3235,5,0.0798206701874733,coupled_substitution,Coordinated cation and residual-anion substitutions in one anion framework.,0.0,0.1151428571428571,0.22352941176470587,0.0,0.0,0.75,0.0,0.03799714285714285,0.026823529411764704,0.0,0.0,0.015
4831,1081,6,0.0798206701874733,coupled_substitution,Coordinated cation and residual-anion substitutions in one anion framework.,0.0,0.1151428571428571,0.22352941176470587,0.0,0.0,0.75,0.0,0.03799714285714285,0.026823529411764704,0.0,0.0,0.015
4831,231,7,0.0798206701874733,coupled_substitution,Coordinated cation and residual-anion substitutions in one anion framework.,0.0,0.1151428571428571,0.22352941176470587,0.0,0.0,0.75,0.0,0.03799714285714285,0.026823529411764704,0.0,0.0,0.015
4831,5814,8,0.08234000205993652,coupled_substitution,Coordinated cation and residual-anion substitutions in one anion framework.,0.0,0.10733333333333331,0.2659999999999999,0.0,0.0,0.75,0.0,0.03541999999999999,0.03191999999999999,0.0,0.0,0.015
4831,5678,9,0.08457686007022858,coupled_substitution,Coordinated cation and residual-anion substitutions in one anion framework.,0.0,0.12955555555555553,0.2235294117647059,0.0,0.0,0.75,0.0,0.04275333333333333,0.026823529411764708,0.0,0.0,0.015
