Mineral Name,Valence Chemistry (concise),Valence Elements,Parsed Species,Parsed Elements,Expected Species,Validation Status,Missing Elements,Extra Elements,Charge Mismatches
Beaverite-(Zn),Pb^2+^Zn^2+^Fe^3+^_2_(S^6+^O_4_)_2_(OH)_6_,Pb^2+ Zn^2+ Fe^3+ S^6+ O H,Pb^2+ Zn^2+ Fe^3+ S^6+ O H,Pb Zn Fe S O H,Pb^2+ Zn^2+ Fe^3+ S^6+ O H,valid,,,
Bechererite,Zn^2+^_7_Cu^2+^(OH)_13_[SiO(OH)_3_S^6+^O_4_],Zn^2+ Cu^2+ O H Si S^6+,Zn^2+ Cu^2+ O H Si S^6+,Zn Cu O H Si S,Zn^2+ Cu^2+ O H Si S^6+,valid,,,
Beckettite,Ca_2_V^3+^_6_Al_6_O_20_,Ca V^3+ Al O,Ca V^3+ Al O,Ca V Al O,Ca V^3+ Al O,valid,,,
Becquerelite,Ca(U^6+^O_2_)_6_O_4_(OH)_6_·8H_2_O,Ca U^6+ O H,Ca U^6+ O H,Ca U O H,Ca U^6+ O H,valid,,,
Bederite,Ca_2_Mn^2+^_4_Fe^3+^_2_(PO_4_)_6_·2H_2_O,Ca Mn^2+ Fe^3+ P O H,Ca Mn^2+ Fe^3+ P O H,Ca Mn Fe P O H,Ca Mn^2+ Fe^3+ P O H,valid,,,
Beershevaite,CaFe^3+^_3_(PO_4_)_3_O,Ca Fe^3+ P O,Ca Fe^3+ P O,Ca Fe P O,Ca Fe^3+ P O,valid,,,
Béhierite,Ta^5+^BO_4_,Ta^5+ B O,Ta^5+ B O,Ta B O,Ta^5+ B O,valid,,,
Behoite,Be(OH)_2_,Be O H,Be O H,Be O H,Be O H,valid,,,
Běhounekite,U^4+^(S^6+^O_4_)_2_·4H_2_O,U^4+ S^6+ O H,U^4+ S^6+ O H,U S O H,U^4+ S^6+ O H,valid,,,
Beidellite,"(Na,Ca)_0.3_Al_2_(Si,Al)_4_O_10_(OH)_2_·nH_2_O",Na Ca Al Si O H,Na Ca Al Si O H,Na Ca Al Si O H,Na Ca Al Si O H,valid,,,
Belakovskiite,Na_7_(U^6+^O_2_)(S^6+^O_4_)_4_(S^6+^O_3_OH)·3H_2_O,Na U^6+ O S^6+ H,Na U^6+ O S^6+ H,Na U O S H,Na U^6+ O S^6+ H,valid,,,
Belendorffite,Cu_7_Hg_6_,Cu Hg,Cu Hg,Cu Hg,Cu Hg,valid,,,
Belkovite,Ba_3_Nb^5+^_6_(Si_2_O_7_)_2_O_12_,Ba Nb^5+ Si O,Ba Nb^5+ Si O,Ba Nb Si O,Ba Nb^5+ Si O,valid,,,
Bellbergite,"(K,Ba,Sr)_2_Sr_2_Ca_2_(Ca,Na)_4_(Si,Al)_36_O_72_·30H_2_O",K Ba Sr Ca Na Si Al O H,K Ba Sr Ca Na Si Al O H,K Ba Sr Ca Na Si Al O H,K Ba Sr Ca Na Si Al O H,valid,,,
Bellidoite,Cu_2_Se,Cu Se,Cu Se,Cu Se,Cu Se,valid,,,
Bellingerite,Cu^2+^_3_(I^5+^O_3_)_6_·2H_2_O,Cu^2+ I^5+ O H,Cu^2+ I^5+ O H,Cu I O H,Cu^2+ I^5+ O H,valid,,,
Belloite,Cu^2+^(OH)Cl,Cu^2+ O H Cl,Cu^2+ O H Cl,Cu O H Cl,Cu^2+ O H Cl,valid,,,
Belmonteite,CaMn^2+^_2_(As^5+^O_4_)_2_(H_2_O)_6_·H_2_O,Ca Mn^2+ As^5+ O H,Ca Mn^2+ As^5+ O H,Ca Mn As O H,Ca Mn^2+ As^5+ O H,valid,,,
Belogubite,Cu^2+^Zn^2+^(S^6+^O_4_)_2_·10H_2_O,Cu^2+ Zn^2+ S^6+ O H,Cu^2+ Zn^2+ S^6+ O H,Cu Zn S O H,Cu^2+ Zn^2+ S^6+ O H,valid,,,
Belomarinaite,KNa(S^6+^O_4_),K Na S^6+ O,K Na S^6+ O,K Na S O,K Na S^6+ O,valid,,,
Belousovite,KZn^2+^(S^6+^O_4_)Cl,K Zn^2+ S^6+ O Cl,K Zn^2+ S^6+ O Cl,K Zn S O Cl,K Zn^2+ S^6+ O Cl,valid,,,
Belovite-(Ce),NaCe^3+^Sr_3_(PO_4_)_3_F,Na Ce^3+ Sr P O F,Na Ce^3+ Sr P O F,Na Ce Sr P O F,Na Ce^3+ Sr P O F,valid,,,
Belovite-(La),NaLaSr_3_(PO_4_)_3_F,Na La Sr P O F,Na La Sr P O F,Na La Sr P O F,Na La Sr P O F,valid,,,
Belyankinite,"Ca_1-2_(Ti^4+^,Zr^4+^,Nb^5+^)_5_O_12_·9H_2_O",Ca Ti^4+ Zr^4+ Nb^5+ O H,Ca Ti^4+ Zr^4+ Nb^5+ O H,Ca Ti Zr Nb O H,Ca Ti^4+ Zr^4+ Nb^5+ O H,valid,,,
Bementite,Mn^2+^_7_Si_6_O_15_(OH)_8_,Mn^2+ Si O H,Mn^2+ Si O H,Mn Si O H,Mn^2+ Si O H,valid,,,
Benauite,SrFe^3+^_3_(PO_4_)(PO_3_OH)(OH)_6_,Sr Fe^3+ P O H,Sr Fe^3+ P O H,Sr Fe P O H,Sr Fe^3+ P O H,valid,,,
