Mineral Name,Valence Chemistry (concise),Valence Elements,Parsed Species,Parsed Elements,Expected Species,Validation Status,Missing Elements,Extra Elements,Charge Mismatches
Lueshite,NaNb^5+^O_3_,Na Nb^5+ O,Na Nb^5+ O,Na Nb O,Na Nb^5+ O,valid,,,
Luetheite,Cu^2+^Al(As^5+^O_4_)(OH)_2_,Cu^2+ Al As^5+ O H,Cu^2+ Al As^5+ O H,Cu Al As O H,Cu^2+ Al As^5+ O H,valid,,,
Lukechangite-(Ce),Na_3_Ce^3+^_2_(CO_3_)_4_F,Na Ce^3+ C O F,Na Ce^3+ C O F,Na Ce C O F,Na Ce^3+ C O F,valid,,,
Lukkulaisvaaraite,Pd_14_Ag_2_Te_9_,Pd Ag Te,Pd Ag Te,Pd Ag Te,Pd Ag Te,valid,,,
Lukrahnite,"CaCu^2+^Fe^3+^(As^5+^O_4_)_2_(OH,H_2_O)_2_",Ca Cu^2+ Fe^3+ As^5+ O H,Ca Cu^2+ Fe^3+ As^5+ O H,Ca Cu Fe As O H,Ca Cu^2+ Fe^3+ As^5+ O H,valid,,,
Lulzacite,Sr_2_Fe^2+^_3_Al_4_(PO_4_)_4_(OH)_10_,Sr Fe^2+ Al P O H,Sr Fe^2+ Al P O H,Sr Fe Al P O H,Sr Fe^2+ Al P O H,valid,,,
Lumsdenite,NaCa_3_Mg_2_(H_2_O)_31_(As^3+^V^4+^_2_V^5+^_10_As^5+^_6_O_51_)·14H_2_O,Na Ca Mg H O As^3+ V^4+ V^5+ As^5+,Na Ca Mg H O As^3+ V^4+ V^5+ As^5+,Na Ca Mg H O As V,Na Ca Mg H O As^3+ V^4+ V^5+ As^5+,valid,,,
Lüneburgite,Mg_3_[B_2_(OH)_6_(PO_4_)_2_](H_2_O)_6_,Mg B O H P,Mg B O H P,Mg B O H P,Mg B O H P,valid,,,
Lunijianlaite,"Li_0.7_Al_6.2_(Si_7_Al)O_20_(OH,O)_10_",Li Al Si O H,Li Al Si O H,Li Al Si O H,Li Al Si O H,valid,,,
Lun'okite,MgMn^2+^Al(PO_4_)_2_(OH)(H_2_O)_4_,Mg Mn^2+ Al P O H,Mg Mn^2+ Al P O H,Mg Mn Al P O H,Mg Mn^2+ Al P O H,valid,,,
Luobusaite,Fe_0.84_Si_2_,Fe Si,Fe Si,Fe Si,Fe Si,valid,,,
Luogufengite,Fe^3+^_2_O_3_,Fe^3+ O,Fe^3+ O,Fe O,Fe^3+ O,valid,,,
Lusernaite-(Y),Y_4_Al(CO_3_)_2_(OH)_11_(H_2_O)_4_·2H_2_O,Y Al C O H,Y Al C O H,Y Al C O H,Y Al C O H,valid,,,
Lussierite,Na_10_[(U^6+^O_2_)(S^6+^O_4_)_4_](S^6+^O_4_)_2_(H_2_O)_3_,Na U^6+ O S^6+ H,Na U^6+ O S^6+ H,Na U O S H,Na U^6+ O S^6+ H,valid,,,
Luxembourgite,Ag^1+^Cu^1+^Pb^2+^Bi^3+^_4_Se^2-^_8_,Ag^1+ Cu^1+ Pb^2+ Bi^3+ Se^2-,Ag^1+ Cu^1+ Pb^2+ Bi^3+ Se^2-,Ag Cu Pb Bi Se,Ag^1+ Cu^1+ Pb^2+ Bi^3+ Se^2-,valid,,,
Luzonite,Cu_3_AsS^2-^_4_,Cu As S^2-,Cu As S^2-,Cu As S,Cu As S^2-,valid,,,
Lyonsite,Cu^2+^_3_Fe^3+^_4_(V^5+^O_4_)_6_,Cu^2+ Fe^3+ V^5+ O,Cu^2+ Fe^3+ V^5+ O,Cu Fe V O,Cu^2+ Fe^3+ V^5+ O,valid,,,
Macaulayite,Fe^3+^_24_Si_4_O_43_(OH)_2_,Fe^3+ Si O H,Fe^3+ Si O H,Fe Si O H,Fe^3+ Si O H,valid,,,
Macdonaldite,BaCa_4_Si_16_O_36_(OH)_2_(H_2_O)_6_·4H_2_O,Ba Ca Si O H,Ba Ca Si O H,Ba Ca Si O H,Ba Ca Si O H,valid,,,
Macedonite,Pb^2+^Ti^4+^O_3_,Pb^2+ Ti^4+ O,Pb^2+ Ti^4+ O,Pb Ti O,Pb^2+ Ti^4+ O,valid,,,
Macfallite,Ca_2_Mn^3+^_3_(SiO_4_)(Si_2_O_7_)(OH)_3_,Ca Mn^3+ Si O H,Ca Mn^3+ Si O H,Ca Mn Si O H,Ca Mn^3+ Si O H,valid,,,
Machatschkiite,Ca_6_(As^5+^O_4_)(As^5+^O_3_OH)_3_(PO_4_)(H_2_O)_12_·3H_2_O,Ca As^5+ O H P,Ca As^5+ O H P,Ca As O H P,Ca As^5+ O H P,valid,,,
Machiite,Al_2_Ti^4+^_3_O_9_,Al Ti^4+ O,Al Ti^4+ O,Al Ti O,Al Ti^4+ O,valid,,,
Macivorite,(N^3-^H_4_)_3_Al_5_(PO_3_OH)_6_(PO_4_)_2_(H_2_O)_12_·6H_2_O,N^3- H Al P O,N^3- H Al P O,N H Al P O,N^3- H Al P O,valid,,,
Mackayite,Fe^3+^Te^4+^_2_O_5_(OH),Fe^3+ Te^4+ O H,Fe^3+ Te^4+ O H,Fe Te O H,Fe^3+ Te^4+ O H,valid,,,
Mackinawite,Fe^2+^S^2-^,Fe^2+ S^2-,Fe^2+ S^2-,Fe S,Fe^2+ S^2-,valid,,,
Macphersonite,Pb^2+^_4_(S^6+^O_4_)(CO_3_)_2_(OH)_2_,Pb^2+ S^6+ O C H,Pb^2+ S^6+ O C H,Pb S O C H,Pb^2+ S^6+ O C H,valid,,,
Macquartite,Cu^2+^_2_Pb^2+^_7_(Cr^6+^O_4_)_4_(SiO_4_)_2_(OH)_2_,Cu^2+ Pb^2+ Cr^6+ O Si H,Cu^2+ Pb^2+ Cr^6+ O Si H,Cu Pb Cr O Si H,Cu^2+ Pb^2+ Cr^6+ O Si H,valid,,,
Macraeite,K(H_2_O)Mn^2+^_2_(Fe^3+^_2_Ti^4+^)(PO_4_)_4_[O(OH)](H_2_O)_10_·4H_2_O,K H O Mn^2+ Fe^3+ Ti^4+ P,K H O Mn^2+ Fe^3+ Ti^4+ P,K H O Mn Fe Ti P,K H O Mn^2+ Fe^3+ Ti^4+ P,valid,,,
Madeiraite,Na_2_Ca_2_Fe^2+^_2_Zr^4+^_2_(Si_2_O_7_)_2_O_2_F_2_,Na Ca Fe^2+ Zr^4+ Si O F,Na Ca Fe^2+ Zr^4+ Si O F,Na Ca Fe Zr Si O F,Na Ca Fe^2+ Zr^4+ Si O F,valid,,,
Madocite,"Pb^2+^_19_(Sb^3+^,As^3+^)_16_S^2-^_43_",Pb^2+ Sb^3+ As^3+ S^2-,Pb^2+ Sb^3+ As^3+ S^2-,Pb Sb As S,Pb^2+ Sb^3+ As^3+ S^2-,valid,,,
Magadiite,[Na_2_(H_2_O)_8_]Si_14_O_28_(OH)_2_,Na H O Si,Na H O Si,Na H O Si,Na H O Si,valid,,,
Magbasite,KBaFe^3+^Mg_7_Si_8_O_22_(OH)_2_F_6_,K Ba Fe^3+ Mg Si O H F,K Ba Fe^3+ Mg Si O H F,K Ba Fe Mg Si O H F,K Ba Fe^3+ Mg Si O H F,valid,,,
Magganasite,Cu^2+^Fe^3+^_3_O(As^5+^O_4_)_3_,Cu^2+ Fe^3+ O As^5+,Cu^2+ Fe^3+ O As^5+,Cu Fe O As,Cu^2+ Fe^3+ O As^5+,valid,,,
Maghagendorfite,Na_2_MgFe^2+^Fe^3+^(PO_4_)_3_,Na Mg Fe^2+ Fe^3+ P O,Na Mg Fe^2+ Fe^3+ P O,Na Mg Fe P O,Na Mg Fe^2+ Fe^3+ P O,valid,,,
Maghemite,(Fe^3+^_0.67_[box]_0.33_)Fe^3+^_2_O_4_,Fe^3+ O,Fe^3+ O,Fe O,Fe^3+ O,valid,,,
Maghrebite,MgAl_2_(As^5+^O_4_)_2_(OH)_2_(H_2_O)_6_·2H_2_O,Mg Al As^5+ O H,Mg Al As^5+ O H,Mg Al As O H,Mg Al As^5+ O H,valid,,,
Magnanelliite,K_3_Fe^3+^_2_(S^6+^O_4_)_4_(OH)(H_2_O)_2_,K Fe^3+ S^6+ O H,K Fe^3+ S^6+ O H,K Fe S O H,K Fe^3+ S^6+ O H,valid,,,
Magnéliite,Ti^3+^_2_Ti^4+^_2_O_7_,Ti^3+ Ti^4+ O,Ti^3+ Ti^4+ O,Ti O,Ti^3+ Ti^4+ O,valid,,,
Magnesioalterite,Mg_2_Fe^3+^_4_(S^6+^O_4_)_4_((C_2_)^6+^O_4_)_2_(OH)_4_·17H_2_O,Mg Fe^3+ S^6+ O C H,Mg Fe^3+ S^6+ O C H,Mg Fe S O C H,Mg Fe^3+ S^6+ O C H,valid,,,
Magnesio-arfvedsonite,NaNa_2_(Mg_4_Fe^3+^)Si_8_O_22_(OH)_2_,Na Mg Fe^3+ Si O H,Na Mg Fe^3+ Si O H,Na Mg Fe Si O H,Na Mg Fe^3+ Si O H,valid,,,
Magnesioaubertite,MgAl(S^6+^O_4_)_2_Cl·14H_2_O,Mg Al S^6+ O Cl H,Mg Al S^6+ O Cl H,Mg Al S O Cl H,Mg Al S^6+ O Cl H,valid,,,
Magnesiobeltrandoite-2N3S,(Mg_6_Al_2_)(Al_18_Fe^3+^_2_)O_38_(OH)_2_,Mg Al Fe^3+ O H,Mg Al Fe^3+ O H,Mg Al Fe O H,Mg Al Fe^3+ O H,valid,,,
Magnesiobermanite,MgMn^3+^_2_(PO_4_)_2_(OH)_2_·4H_2_O,Mg Mn^3+ P O H,Mg Mn^3+ P O H,Mg Mn P O H,Mg Mn^3+ P O H,valid,,,
Magnesiocanutite,Na[box]Mn^2+^Mg_2_[As^5+^O_4_]_2_[As^5+^O_2_(OH)_2_],Na Mn^2+ Mg As^5+ O H,Na Mn^2+ Mg As^5+ O H,Na Mn Mg As O H,Na Mn^2+ Mg As^5+ O H,valid,,,
Magnesiocarpholite,MgAl_2_Si_2_O_6_(OH)_4_,Mg Al Si O H,Mg Al Si O H,Mg Al Si O H,Mg Al Si O H,valid,,,
Magnesiochangesite-(Ce),(Ca_8_Ce^3+^)Mg(PO_4_)_7_,Ca Ce^3+ Mg P O,Ca Ce^3+ Mg P O,Ca Ce Mg P O,Ca Ce^3+ Mg P O,valid,,,
Magnesiochangesite-(Y),(Ca_8_Y)[box]Mg(PO_4_)_7_,Ca Y Mg P O,Ca Y Mg P O,Ca Y Mg P O,Ca Y Mg P O,valid,,,
Magnesiochloritoid,MgAl_2_O(SiO_4_)(OH)_2_,Mg Al O Si H,Mg Al O Si H,Mg Al O Si H,Mg Al O Si H,valid,,,
Magnesiochlorophoenicite,Mg_3_Zn^2+^_2_(OH)_6_As^5+^[O_3_(OH)_3_],Mg Zn^2+ O H As^5+,Mg Zn^2+ O H As^5+,Mg Zn O H As,Mg Zn^2+ O H As^5+,valid,,,
Magnesiochromite,MgCr^3+^_2_O_4_,Mg Cr^3+ O,Mg Cr^3+ O,Mg Cr O,Mg Cr^3+ O,valid,,,
Magnesiocopiapite,MgFe^3+^_4_(S^6+^O_4_)_6_(OH)_2_·20H_2_O,Mg Fe^3+ S^6+ O H,Mg Fe^3+ S^6+ O H,Mg Fe S O H,Mg Fe^3+ S^6+ O H,valid,,,
Magnesiocoulsonite,MgV^3+^_2_O_4_,Mg V^3+ O,Mg V^3+ O,Mg V O,Mg V^3+ O,valid,,,
Magnesiodumortierite,MgAl_6_BSi_3_O_17_(OH),Mg Al B Si O H,Mg Al B Si O H,Mg Al B Si O H,Mg Al B Si O H,valid,,,
Magnesio-dutrowite,Na(Mg_2.5_Ti^4+^_0.5_)Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_O,Na Mg Ti^4+ Al Si O B H,Na Mg Ti^4+ Al Si O B H,Na Mg Ti Al Si O B H,Na Mg Ti^4+ Al Si O B H,valid,,,
Magnesio-ferri-fluoro-hornblende,[box]Ca_2_(Mg_4_Fe^3+^)(Si_7_Al)O_22_F_2_,Ca Mg Fe^3+ Si Al O F,Ca Mg Fe^3+ Si Al O F,Ca Mg Fe Si Al O F,Ca Mg Fe^3+ Si Al O F,valid,,,
Magnesio-ferri-hornblende,[box]Ca_2_(Mg_4_Fe^3+^)[(Si_7_Al)O_22_](OH)_2_,Ca Mg Fe^3+ Si Al O H,Ca Mg Fe^3+ Si Al O H,Ca Mg Fe Si Al O H,Ca Mg Fe^3+ Si Al O H,valid,,,
Magnesioferrite,MgFe^3+^_2_O_4_,Mg Fe^3+ O,Mg Fe^3+ O,Mg Fe O,Mg Fe^3+ O,valid,,,
Magnesiofluckite,CaMg(As^5+^O_3_OH)_2_(H_2_O)_2_,Ca Mg As^5+ O H,Ca Mg As^5+ O H,Ca Mg As O H,Ca Mg As^5+ O H,valid,,,
Magnesio-fluoro-arfvedsonite,NaNa_2_(Mg_4_Fe^3+^)Si_8_O_22_F_2_,Na Mg Fe^3+ Si O F,Na Mg Fe^3+ Si O F,Na Mg Fe Si O F,Na Mg Fe^3+ Si O F,valid,,,
Magnesio-fluoro-hastingsite,NaCa_2_(Mg_4_Fe^3+^)(Si_6_Al_2_)O_22_F_2_,Na Ca Mg Fe^3+ Si Al O F,Na Ca Mg Fe^3+ Si Al O F,Na Ca Mg Fe Si Al O F,Na Ca Mg Fe^3+ Si Al O F,valid,,,
Magnesio-foitite,[box](Mg_2_Al)Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_OH,Mg Al Si O B H,Mg Al Si O B H,Mg Al Si O B H,Mg Al Si O B H,valid,,,
Magnesio-hastingsite,NaCa_2_(Mg_4_Fe^3+^)Si_6_Al_2_O_22_(OH)_2_,Na Ca Mg Fe^3+ Si Al O H,Na Ca Mg Fe^3+ Si Al O H,Na Ca Mg Fe Si Al O H,Na Ca Mg Fe^3+ Si Al O H,valid,,,
Magnesiohatertite,NaNaCa(MgFe^3+^)(As^5+^O_4_)_3_,Na Ca Mg Fe^3+ As^5+ O,Na Ca Mg Fe^3+ As^5+ O,Na Ca Mg Fe As O,Na Ca Mg Fe^3+ As^5+ O,valid,,,
Magnesiohögbomite-2N2S,"(Al,Mg,Fe^2+^,Fe^3+^,Ti^4+^)_22_(O,OH)_32_",Al Mg Fe^2+ Fe^3+ Ti^4+ O H,Al Mg Fe^2+ Fe^3+ Ti^4+ O H,Al Mg Fe Ti O H,Al Mg Fe^2+ Fe^3+ Ti^4+ O H,valid,,,
Magnesiohögbomite-2N3S,"(Mg,Fe^2+^,Zn^2+^,Ti^4+^)_4_(Al,Fe^3+^)_10_O_19_(OH)",Mg Fe^2+ Zn^2+ Ti^4+ Al Fe^3+ O H,Mg Fe^2+ Zn^2+ Ti^4+ Al Fe^3+ O H,Mg Fe Zn Ti Al O H,Mg Fe^2+ Zn^2+ Ti^4+ Al Fe^3+ O H,valid,,,
Magnesiohögbomite-2N4S,(Mg_8.43_Fe^2+^_1.57_)Al_22_Ti^4+^_2_O_46_(OH)_2_,Mg Fe^2+ Al Ti^4+ O H,Mg Fe^2+ Al Ti^4+ O H,Mg Fe Al Ti O H,Mg Fe^2+ Al Ti^4+ O H,valid,,,
Magnesiohögbomite-6N12S,Mg_5_Al_11_Ti^4+^O_23_(OH),Mg Al Ti^4+ O H,Mg Al Ti^4+ O H,Mg Al Ti O H,Mg Al Ti^4+ O H,valid,,,
Magnesiohögbomite-6N6S,"(Mg,Al,Fe^2+^,Fe^3+^)_3_(Al,Ti^4+^)_8_O_15_(OH)",Mg Al Fe^2+ Fe^3+ Ti^4+ O H,Mg Al Fe^2+ Fe^3+ Ti^4+ O H,Mg Al Fe Ti O H,Mg Al Fe^2+ Fe^3+ Ti^4+ O H,valid,,,
Magnesiohongruiite-(Fe3+),(Mg_2_Fe^3+^)Fe^3+^Nb^5+^O_7_(OH),Mg Fe^3+ Nb^5+ O H,Mg Fe^3+ Nb^5+ O H,Mg Fe Nb O H,Mg Fe^3+ Nb^5+ O H,valid,,,
Magnesio-hornblende,[box]Ca_2_(Mg_4_Al)(Si_7_Al)O_22_(OH)_2_,Ca Mg Al Si O H,Ca Mg Al Si O H,Ca Mg Al Si O H,Ca Mg Al Si O H,valid,,,
Magnesiohulsite,Mg_2_Fe^3+^O_2_(BO_3_),Mg Fe^3+ O B,Mg Fe^3+ O B,Mg Fe O B,Mg Fe^3+ O B,valid,,,
Magnesiokoritnigite,Mg(As^5+^O_3_OH)(H_2_O),Mg As^5+ O H,Mg As^5+ O H,Mg As O H,Mg As^5+ O H,valid,,,
Magnesioleydetite,Mg(U^6+^O_2_)(S^6+^O_4_)_2_(H_2_O)_7_·4H_2_O,Mg U^6+ O S^6+ H,Mg U^6+ O S^6+ H,Mg U O S H,Mg U^6+ O S^6+ H,valid,,,
Magnesio-lucchesiite,CaMg_3_Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_O,Ca Mg Al Si O B H,Ca Mg Al Si O B H,Ca Mg Al Si O B H,Ca Mg Al Si O B H,valid,,,
Magnesioneptunite,KNa_2_LiMg_2_Ti^4+^_2_Si_8_O_24_,K Na Li Mg Ti^4+ Si O,K Na Li Mg Ti^4+ Si O,K Na Li Mg Ti Si O,K Na Li Mg Ti^4+ Si O,valid,,,
Magnesionigerite-2N1S,"(Mg,Al,Zn^2+^)_2_(Al,Sn^4+^)_6_O_11_(OH)",Mg Al Zn^2+ Sn^4+ O H,Mg Al Zn^2+ Sn^4+ O H,Mg Al Zn Sn O H,Mg Al Zn^2+ Sn^4+ O H,valid,,,
Magnesionigerite-6N6S,"(Mg,Al,Zn^2+^)_3_(Al,Sn^4+^,Fe^3+^,Fe^2+^)_8_O_15_(OH)",Mg Al Zn^2+ Sn^4+ Fe^3+ Fe^2+ O H,Mg Al Zn^2+ Sn^4+ Fe^3+ Fe^2+ O H,Mg Al Zn Sn Fe O H,Mg Al Zn^2+ Sn^4+ Fe^3+ Fe^2+ O H,valid,,,
Magnesiopascoite,Ca_2_MgV^5+^_10_O_28_(H_2_O)_16_,Ca Mg V^5+ O H,Ca Mg V^5+ O H,Ca Mg V O H,Ca Mg V^5+ O H,valid,,,
Magnesioqingheiite,Na_2_Mg(MgAl)(PO_4_)_3_,Na Mg Al P O,Na Mg Al P O,Na Mg Al P O,Na Mg Al P O,valid,,,
Magnesio-riebeckite,[box]Na_2_(Mg_3_Fe^3+^_2_)Si_8_O_22_(OH)_2_,Na Mg Fe^3+ Si O H,Na Mg Fe^3+ Si O H,Na Mg Fe Si O H,Na Mg Fe^3+ Si O H,valid,,,
Magnesiorowlandite-(Y),Y_4_Mg(Si_2_O_7_)_2_F_2_,Y Mg Si O F,Y Mg Si O F,Y Mg Si O F,Y Mg Si O F,valid,,,
Magnesiostaurolite,"Mg(Mg,Li)_3_(Al,Mg)_18_Si_8_O_44_(OH)_4_",Mg Li Al Si O H,Mg Li Al Si O H,Mg Li Al Si O H,Mg Li Al Si O H,valid,,,
Magnesiotaaffeite-2N'2S,Mg_3_BeAl_8_O_16_,Mg Be Al O,Mg Be Al O,Mg Be Al O,Mg Be Al O,valid,,,
Magnesiotaaffeite-6N'3S,Mg_2_BeAl_6_O_12_,Mg Be Al O,Mg Be Al O,Mg Be Al O,Mg Be Al O,valid,,,
Magnesiovesuvianite,Ca_19_Mg(Al_11_Mg)Si_18_O_69_(OH)_9_,Ca Mg Al Si O H,Ca Mg Al Si O H,Ca Mg Al Si O H,Ca Mg Al Si O H,valid,,,
Magnesiovoltaite,K_2_Mg_5_Fe^3+^_3_Al(S^6+^O_4_)_12_(H_2_O)_18_,K Mg Fe^3+ Al S^6+ O H,K Mg Fe^3+ Al S^6+ O H,K Mg Fe Al S O H,K Mg Fe^3+ Al S^6+ O H,valid,,,
Magnesiozippeite,Mg(U^6+^O_2_)_2_(S^6+^O_4_)O_2_·3.5H_2_O,Mg U^6+ O S^6+ H,Mg U^6+ O S^6+ H,Mg U O S H,Mg U^6+ O S^6+ H,valid,,,
Magnesite,MgCO_3_,Mg C O,Mg C O,Mg C O,Mg C O,valid,,,
Magnetite,Fe^2+^Fe^3+^_2_O_4_,Fe^2+ Fe^3+ O,Fe^2+ Fe^3+ O,Fe O,Fe^2+ Fe^3+ O,valid,,,
Magnetoplumbite,Pb^2+^Fe^3+^_12_O_19_,Pb^2+ Fe^3+ O,Pb^2+ Fe^3+ O,Pb Fe O,Pb^2+ Fe^3+ O,valid,,,
Magnioursilite,Mg_4_(U^6+^O_2_)_4_(Si_2_O_5_)_5_(OH)_6_·20H_2_O,Mg U^6+ O Si H,Mg U^6+ O Si H,Mg U O Si H,Mg U^6+ O Si H,valid,,,
Magnolite,Hg^1+^_2_Te^4+^O_3_,Hg^1+ Te^4+ O,Hg^1+ Te^4+ O,Hg Te O,Hg^1+ Te^4+ O,valid,,,
Magnussonite,"Mn^2+^_5_As^3+^_3_O_9_(OH,Cl)",Mn^2+ As^3+ O H Cl,Mn^2+ As^3+ O H Cl,Mn As O H Cl,Mn^2+ As^3+ O H Cl,valid,,,
Magselite,[Mg(H_2_O)_6_](Se^4+^O_3_),Mg H O Se^4+,Mg H O Se^4+,Mg H O Se,Mg H O Se^4+,valid,,,
Mahnertite,"(Na,Ca,K)Cu^2+^_3_(As^5+^O_4_)_2_Cl(H_2_O)_3_·2H_2_O",Na Ca K Cu^2+ As^5+ O Cl H,Na Ca K Cu^2+ As^5+ O Cl H,Na Ca K Cu As O Cl H,Na Ca K Cu^2+ As^5+ O Cl H,valid,,,
Maikainite,Cu^1+^_10_Fe^2+^_3_Mo^4+^Ge^4+^_3_S^2-^_16_,Cu^1+ Fe^2+ Mo^4+ Ge^4+ S^2-,Cu^1+ Fe^2+ Mo^4+ Ge^4+ S^2-,Cu Fe Mo Ge S,Cu^1+ Fe^2+ Mo^4+ Ge^4+ S^2-,valid,,,
Majakite,PdNiAs,Pd Ni As,Pd Ni As,Pd Ni As,Pd Ni As,valid,,,
Majindeite,Mg_2_Mo^4+^_3_O_8_,Mg Mo^4+ O,Mg Mo^4+ O,Mg Mo O,Mg Mo^4+ O,valid,,,
Majorite,Mg_3_(MgSi)(SiO_4_)_3_,Mg Si O,Mg Si O,Mg Si O,Mg Si O,valid,,,
Majzlanite,K_2_Na(Zn^2+^Na)Ca(S^6+^O_4_)_4_,K Na Zn^2+ Ca S^6+ O,K Na Zn^2+ Ca S^6+ O,K Na Zn Ca S O,K Na Zn^2+ Ca S^6+ O,valid,,,
Makarochkinite,Ca_4_[Fe^2+^_8_Fe^3+^_2_Ti^4+^_2_]O_4_[Si_8_Be_2_Al_2_O_36_],Ca Fe^2+ Fe^3+ Ti^4+ O Si Be Al,Ca Fe^2+ Fe^3+ Ti^4+ O Si Be Al,Ca Fe Ti O Si Be Al,Ca Fe^2+ Fe^3+ Ti^4+ O Si Be Al,valid,,,
Makatite,Na_2_Si_4_O_8_(OH)_2_(H_2_O)_4_,Na Si O H,Na Si O H,Na Si O H,Na Si O H,valid,,,
Mäkinenite,NiSe,Ni Se,Ni Se,Ni Se,Ni Se,valid,,,
Makotoite,Ag_12_(Cu_3_Au)S_8_,Ag Cu Au S,Ag Cu Au S,Ag Cu Au S,Ag Cu Au S,valid,,,
Makovickyite,Cu_1.12_Ag_0.81_Pb^2+^_0.27_Bi^3+^_5.35_S^2-^_9_,Cu Ag Pb^2+ Bi^3+ S^2-,Cu Ag Pb^2+ Bi^3+ S^2-,Cu Ag Pb Bi S,Cu Ag Pb^2+ Bi^3+ S^2-,valid,,,
Malachite,Cu^2+^_2_CO_3_(OH)_2_,Cu^2+ C O H,Cu^2+ C O H,Cu C O H,Cu^2+ C O H,valid,,,
Malanite,Cu^1+^(Ir^3+^Pt^4+^)S^2-^_4_,Cu^1+ Ir^3+ Pt^4+ S^2-,Cu^1+ Ir^3+ Pt^4+ S^2-,Cu Ir Pt S,Cu^1+ Ir^3+ Pt^4+ S^2-,valid,,,
Malayaite,CaSn^4+^O(SiO_4_),Ca Sn^4+ O Si,Ca Sn^4+ O Si,Ca Sn O Si,Ca Sn^4+ O Si,valid,,,
Maldonite,Au_2_Bi,Au Bi,Au Bi,Au Bi,Au Bi,valid,,,
Maleevite,BaB_2_Si_2_O_8_,Ba B Si O,Ba B Si O,Ba B Si O,Ba B Si O,valid,,,
Maletoyvayamite,Au_3_Se_4_Te_6_,Au Se Te,Au Se Te,Au Se Te,Au Se Te,valid,,,
Malhmoodite,Fe^2+^Zr^4+^(PO_4_)_2_(H_2_O)_4_,Fe^2+ Zr^4+ P O H,Fe^2+ Zr^4+ P O H,Fe Zr P O H,Fe^2+ Zr^4+ P O H,valid,,,
Malinkoite,NaBSiO_4_,Na B Si O,Na B Si O,Na B Si O,Na B Si O,valid,,,
Malladrite,Na_2_SiF_6_,Na Si F,Na Si F,Na Si F,Na Si F,valid,,,
Mallardite,Mn^ 2+^S^6+^O_4_·7H_2_O,Mn S^6+ O H,Mn^2+ S^6+ O H,Mn S O H,Mn S^6+ O H,charge_mismatch,,,Mn: expected unspecified; parsed 2+
Mallestigite,Pb^2+^_3_Sb^5+^(S^6+^O_4_)(As^5+^O_4_)(OH)_6_·3H_2_O,Pb^2+ Sb^5+ S^6+ O As^5+ H,Pb^2+ Sb^5+ S^6+ O As^5+ H,Pb Sb S O As H,Pb^2+ Sb^5+ S^6+ O As^5+ H,valid,,,
Malyshevite,Cu^1+^Pd^2+^Bi^3+^S^2-^_3_,Cu^1+ Pd^2+ Bi^3+ S^2-,Cu^1+ Pd^2+ Bi^3+ S^2-,Cu Pd Bi S,Cu^1+ Pd^2+ Bi^3+ S^2-,valid,,,
Mambertiite,Bi^3+^Mo^5+^_2.80_O_8_(OH),Bi^3+ Mo^5+ O H,Bi^3+ Mo^5+ O H,Bi Mo O H,Bi^3+ Mo^5+ O H,valid,,,
Mammothite,Pb^2+^_6_Cu^2+^_4_AlSb^5+^O_2_(S^6+^O_4_)_2_Cl_4_(OH)_16_,Pb^2+ Cu^2+ Al Sb^5+ O S^6+ Cl H,Pb^2+ Cu^2+ Al Sb^5+ O S^6+ Cl H,Pb Cu Al Sb O S Cl H,Pb^2+ Cu^2+ Al Sb^5+ O S^6+ Cl H,valid,,,
Mampsisite,Ca_4_Al_2_(OH)_12_(CO_3_)· 5H_2_O,Ca Al O H C,Ca Al O H C,Ca Al O H C,Ca Al O H C,valid,,,
Manaevite-(Ce),"Ca_11_(Ce^3+^,H_2_O,Ca)_8_Mg(Al,Fe^3+^)_4_(Mg,Ti^4+^,Fe^3+^)_8_[Si_2_O_7_]_4_[(SiO_4_)_8_(H_4_O_4_)_2_](OH)_9_",Ca Ce^3+ H O Mg Al Fe^3+ Ti^4+ Si,Ca Ce^3+ H O Mg Al Fe^3+ Ti^4+ Si,Ca Ce H O Mg Al Fe Ti Si,Ca Ce^3+ H O Mg Al Fe^3+ Ti^4+ Si,valid,,,
Manaksite,KNaMn^2+^Si_4_O_10_,K Na Mn^2+ Si O,K Na Mn^2+ Si O,K Na Mn Si O,K Na Mn^2+ Si O,valid,,,
Manandonite,Li_2_Al_4_(Si_2_AlB)O_10_(OH)_8_,Li Al Si B O H,Li Al Si B O H,Li Al Si B O H,Li Al Si B O H,valid,,,
Mandarinoite,Fe^3+^_2_(Se^4+^O_3_)_3_·6H_2_O,Fe^3+ Se^4+ O H,Fe^3+ Se^4+ O H,Fe Se O H,Fe^3+ Se^4+ O H,valid,,,
Maneckiite,(Na[box])Ca_2_Fe^2+^_2_(Fe^3+^Mg)Mn^2+^_2_(PO_4_)_6_(H_2_O)_2_,Na Ca Fe^2+ Fe^3+ Mg Mn^2+ P O H,Na Ca Fe^2+ Fe^3+ Mg Mn^2+ P O H,Na Ca Fe Mg Mn P O H,Na Ca Fe^2+ Fe^3+ Mg Mn^2+ P O H,valid,,,
Manganarsite,Mn^2+^_3_As^3+^_2_O_4_(OH)_4_,Mn^2+ As^3+ O H,Mn^2+ As^3+ O H,Mn As O H,Mn^2+ As^3+ O H,valid,,,
