Mineral Name,Mineral Name (plain),Mineral Name (HTML),Valence Chemistry,Valence Chemistry (concise),Valence Chemistry (HTML),IMA Chemistry (HTML),Chemistry Elements,RRUFF IDs,Database ID,Year First Published,IMA Status,Structural Groupname,Crystal Systems,Space Groups,Valence Elements,IMA Mineral Symbol,Paragenetic Modes
Giessenite,Giessenite,Giessenite,"(Cu1+,Fe2+)2Pb2+26.4(Bi3+,Sb3+)19.6S2-57","(Cu^1+^,Fe^2+^)_2_Pb^2+^_26.4_(Bi^3+^,Sb^3+^)_19.6_S^2-^_57_","(Cu<sup>1+</sup>,Fe<sup>2+</sup>)<sub>2</sub>Pb<sup>2+</sup><sub>26.4</sub>(Bi<sup>3+</sup>,Sb<sup>3+</sup>)<sub>19.6</sub>S<sup>2-</sup><sub>57</sub>","(Cu,Fe)<sub>2</sub>Pb<sub>26.4</sub>(Bi,Sb)<sub>19.6</sub>S<sub>57</sub>",Cu Fe Pb Bi Sb S,,5007,1963,Approved,Kobellite,"orthorhombic, monoclinic","P212121, P21/n",Cu^1+ Fe^2+ Pb^2+ Bi^3+ Sb^3+ S^2-,Gie,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Giftgrubeite,Giftgrubeite,Giftgrubeite,CaMn2+2Ca2(As5+O4)2(As5+O3OH)2·4H2O,CaMn^2+^_2_Ca_2_(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_·4H_2_O,CaMn<sup>2+</sup><sub>2</sub>Ca<sub>2</sub>(As<sup>5+</sup>O<sub>4</sub>)<sub>2</sub>(As<sup>5+</sup>O<sub>3</sub>OH)<sub>2</sub>·4H<sub>2</sub>O,CaMn<sub>2</sub>Ca<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>(AsO<sub>3</sub>OH)<sub>2</sub>·4H<sub>2</sub>O,Ca Mn As O H,,6629,2017,Approved,Hureaulite,monoclinic,C2/c,Ca Mn^2+ As^5+ O H,Gif,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
Gilalite,Gilalite,Gilalite,Cu2+5Si6O17·7H2O,Cu^2+^_5_Si_6_O_17_·7H_2_O,Cu<sup>2+</sup><sub>5</sub>Si<sub>6</sub>O<sub>17</sub>·7H<sub>2</sub>O,Cu<sub>5</sub>Si<sub>6</sub>O<sub>17</sub>·7H<sub>2</sub>O,Cu Si O H,,2082,1979,Approved,,monoclinic,,Cu^2+ Si O H,Gil,"Abiotic, Biotic, Primary, Secondary; Stage 3b: Earth's earliest hydrosphere, PM12 - Hadean hydrothermal subsurface sulfide deposits, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM56 - Slag and smelter minerals"
Gillardite,Gillardite,Gillardite,Cu2+3Ni2+Cl2(OH)6,Cu^2+^_3_Ni^2+^Cl_2_(OH)_6_,Cu<sup>2+</sup><sub>3</sub>Ni<sup>2+</sup>Cl<sub>2</sub>(OH)<sub>6</sub>,Cu<sub>3</sub>NiCl<sub>2</sub>(OH)<sub>6</sub>,Cu Ni Cl O H,,5386,2006,Approved,Atacamite,hexagonal,R3m,Cu^2+ Ni^2+ Cl O H,Gla,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals"
Gillespite,Gillespite,Gillespite,BaFe2+Si4O10,BaFe^2+^Si_4_O_10_,BaFe<sup>2+</sup>Si<sub>4</sub>O<sub>10</sub>,BaFe<sup>2+</sup>Si<sub>4</sub>O<sub>10</sub>,Ba Fe Si O,,2083,1922,Approved,Gillespite,"tetragonal, orthorhombic","P4/ncc, P21212",Ba Fe^2+ Si O,Gls,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
Gillulyite,Gillulyite,Gillulyite,Tl2As7.5Sb0.3S13,Tl_2_As_7.5_Sb_0.3_S_13_,Tl<sub>2</sub>As<sub>7.5</sub>Sb<sub>0.3</sub>S<sub>13</sub>,Tl<sub>2</sub>As<sub>7.5</sub>Sb<sub>0.3</sub>S<sub>13</sub>,Tl As Sb S,,2084,1989,Approved,,monoclinic,P2/n,Tl As Sb S,Gly,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM53 - Other minerals with taphonomic origins"
Gilmarite,Gilmarite,Gilmarite,Cu2+3(As5+O4)(OH)3,Cu^2+^_3_(As^5+^O_4_)(OH)_3_,Cu<sup>2+</sup><sub>3</sub>(As<sup>5+</sup>O<sub>4</sub>)(OH)<sub>3</sub>,Cu<sup>2+</sup><sub>3</sub>(AsO<sub>4</sub>)(OH)<sub>3</sub>,Cu As O H,,2085,1996,Approved,Gilmarite,triclinic,P1,Cu^2+ As^5+ O H,Gmr,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Ginelfite,Ginelfite,Ginelfite,"Ag1+2(Ag1+0.5Fe2+0.5)Tl1+Pb2+23.5(Sb3+,As3+)33.5S2-76","Ag^1+^_2_(Ag^1+^_0.5_Fe^2+^_0.5_)Tl^1+^Pb^2+^_23.5_(Sb^3+^,As^3+^)_33.5_S^2-^_76_","Ag<sup>1+</sup><sub>2</sub>(Ag<sup>1+</sup><sub>0.5</sub>Fe<sup>2+</sup><sub>0.5</sub>)Tl<sup>1+</sup>Pb<sup>2+</sup><sub>23.5</sub>(Sb<sup>3+</sup>,As<sup>3+</sup>)<sub>33.5</sub>S<sup>2-</sup><sub>76</sub>","Ag<sub>2</sub>(Ag<sub>0.5</sub>Fe<sup>2+</sup><sub>0.5</sub>)TlPb<sub>23.5</sub>(Sb,As)<sub>33.5</sub>S<sub>76</sub>",Ag Fe Tl Pb Sb As S,,7328,2023,"Approved, Pending publication",Not in a structural group,triclinic,P1,Ag^1+ Fe^2+ Tl^1+ Pb^2+ Sb^3+ As^3+ S^2-,Glf,
Giniite,Giniite,Giniite,Fe2+Fe3+4(PO4)4(OH)2·2H2O,Fe^2+^Fe^3+^_4_(PO_4_)_4_(OH)_2_·2H_2_O,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>4</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>2</sub>·2H<sub>2</sub>O,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>4</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>2</sub>·2H<sub>2</sub>O,Fe P O H,,2086,1977,Approved,,"orthorhombic, monoclinic","Cmmm, P2/a, P2/n",Fe^2+ Fe^3+ P O H,Gin,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration"
Ginorite,Ginorite,Ginorite,Ca2B14O20(OH)6·5H2O,Ca_2_B_14_O_20_(OH)_6_·5H_2_O,Ca<sub>2</sub>B<sub>14</sub>O<sub>20</sub>(OH)<sub>6</sub>·5H<sub>2</sub>O,Ca<sub>2</sub>B<sub>14</sub>O<sub>20</sub>(OH)<sub>6</sub>·5H<sub>2</sub>O,Ca B O H,,2087,1934,"Approved, Grandfathered",,,,Ca B O H,Gnr,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
