Mineral Name,Mineral Name (plain),Mineral Name (HTML),Valence Chemistry,Valence Chemistry (concise),Valence Chemistry (HTML),IMA Chemistry (HTML),Chemistry Elements,RRUFF IDs,Database ID,Year First Published,IMA Status,Structural Groupname,Crystal Systems,Space Groups,Valence Elements,IMA Mineral Symbol,Paragenetic Modes
Gold,Gold,Gold,Au,Au,Au,Au,Au,,2116,0,"Approved, Grandfathered",Copper,cubic,Fm3m,Au,Au,"Abiotic, Biotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, PM8 - Mafic igneous rocks, Stage 3b: Earth's earliest hydrosphere, PM12 - Hadean hydrothermal subsurface sulfide deposits, Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, PM33 - Hydrothermal metal deposits, Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites, PM37 - Layered igneous formations, Stage 5: Initiation of plate tectonics, PM38 - Ophiolites, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM49 - Oxic cellular biomineralization"
Goldfieldite,Goldfieldite,Goldfieldite,(Cu1+4☐2)Cu1+6Te4+4S2-13,(Cu^1+^_4_[box]_2_)Cu^1+^_6_Te^4+^_4_S^2-^_13_,(Cu<sup>1+</sup><sub>4</sub>☐<sub>2</sub>)Cu<sup>1+</sup><sub>6</sub>Te<sup>4+</sup><sub>4</sub>S<sup>2-</sup><sub>13</sub>,(Cu<sub>4</sub>☐<sub>2</sub>)Cu<sub>6</sub>Te<sub>4</sub>S<sub>13</sub>,Cu Te S,,2117,1909,"Approved, Redefined",Tetrahedrite,cubic,I43m,Cu^1+ Te^4+ S^2-,Gf,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Goldhillite,Goldhillite,Goldhillite,Cu2+5Zn2+(As5+O4)2(OH)6·H2O,Cu^2+^_5_Zn^2+^(As^5+^O_4_)_2_(OH)_6_·H_2_O,Cu<sup>2+</sup><sub>5</sub>Zn<sup>2+</sup>(As<sup>5+</sup>O<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>·H<sub>2</sub>O,Cu<sub>5</sub>Zn(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>·H<sub>2</sub>O,Cu Zn As O H,,7144,2021,Approved,Philipsburgite,monoclinic,P21/c,Cu^2+ Zn^2+ As^5+ O H,Gdh,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Goldichite,Goldichite,Goldichite,KFe3+(S6+O4)2·4H2O,KFe^3+^(S^6+^O_4_)_2_·4H_2_O,KFe<sup>3+</sup>(S<sup>6+</sup>O<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O,KFe<sup>3+</sup>(SO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O,K Fe S O H,,2118,1955,"Approved, Grandfathered",,monoclinic,P21/c,K Fe^3+ S^6+ O H,Gol,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
Goldmanite,Goldmanite,Goldmanite,Ca3V3+2(SiO4)3,Ca_3_V^3+^_2_(SiO_4_)_3_,Ca<sub>3</sub>V<sup>3+</sup><sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>,Ca<sub>3</sub>V<sup>3+</sup><sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>,Ca V Si O,,2119,1963,Approved,Garnet,cubic,"Ia3d, Ia3d",Ca V^3+ Si O,Glm,"Abiotic, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases, Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
Goldquarryite,Goldquarryite,Goldquarryite,Cu2+Cd2+2Al3(PO4)4F3·10H2O,Cu^2+^Cd^2+^_2_Al_3_(PO_4_)_4_F_3_·10H_2_O,Cu<sup>2+</sup>Cd<sup>2+</sup><sub>2</sub>Al<sub>3</sub>(PO<sub>4</sub>)<sub>4</sub>F<sub>3</sub>·10H<sub>2</sub>O,CuCd<sub>2</sub>Al<sub>3</sub>(PO<sub>4</sub>)<sub>4</sub>F<sub>3</sub>·10H<sub>2</sub>O,Cu Cd Al P O F H,,2120,2001,Approved,,triclinic,P1,Cu^2+ Cd^2+ Al P O F H,Gqy,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Goldschmidtite,Goldschmidtite,Goldschmidtite,KNb5+O3,KNb^5+^O_3_,KNb<sup>5+</sup>O<sub>3</sub>,KNbO<sub>3</sub>,K Nb O,,6776,2018,Approved,Perovskite,cubic,Pm3m,K Nb^5+ O,Gsc,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites"
Golyshevite,Golyshevite,Golyshevite,Na10Ca9Zr4+3Fe2+2SiNb5+(Si3O9)2(Si9O27)2(OH)3(CO3)·H2O,Na_10_Ca_9_Zr^4+^_3_Fe^2+^_2_SiNb^5+^(Si_3_O_9_)_2_(Si_9_O_27_)_2_(OH)_3_(CO_3_)·H_2_O,Na<sub>10</sub>Ca<sub>9</sub>Zr<sup>4+</sup><sub>3</sub>Fe<sup>2+</sup><sub>2</sub>SiNb<sup>5+</sup>(Si<sub>3</sub>O<sub>9</sub>)<sub>2</sub>(Si<sub>9</sub>O<sub>27</sub>)<sub>2</sub>(OH)<sub>3</sub>(CO<sub>3</sub>)·H<sub>2</sub>O,Na<sub>10</sub>Ca<sub>9</sub>Zr<sub>3</sub>Fe<sub>2</sub>SiNb(Si<sub>3</sub>O<sub>9</sub>)<sub>2</sub>(Si<sub>9</sub>O<sub>27</sub>)<sub>2</sub>(OH)<sub>3</sub>(CO<sub>3</sub>)·H<sub>2</sub>O,Na Ca Zr Fe Si Nb O H C,,5324,2004,Approved,Eudialyte,hexagonal,R3m,Na Ca Zr^4+ Fe^2+ Si Nb^5+ O H C,Gsv,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Gonnardite,Gonnardite,Gonnardite,"(Na,Ca)2(Si,Al)5O10·3H2O","(Na,Ca)_2_(Si,Al)_5_O_10_·3H_2_O","(Na,Ca)<sub>2</sub>(Si,Al)<sub>5</sub>O<sub>10</sub>·3H<sub>2</sub>O","(Na,Ca)<sub>2</sub>(Si,Al)<sub>5</sub>O<sub>10</sub>·3H<sub>2</sub>O",Na Ca Si Al O H,,2121,1896,"Approved, Redefined",Natrolite,tetragonal,I42d,Na Ca Si Al O H,Gon,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration, PM25 - Evaporites (prebiotic)"
Gonyerite,Gonyerite,Gonyerite,Mn2+5Fe3+(Si3Fe3+O10)(OH)8,Mn^2+^_5_Fe^3+^(Si_3_Fe^3+^O_10_)(OH)_8_,Mn<sup>2+</sup><sub>5</sub>Fe<sup>3+</sup>(Si<sub>3</sub>Fe<sup>3+</sup>O<sub>10</sub>)(OH)<sub>8</sub>,Mn<sup>2+</sup><sub>5</sub>Fe<sup>3+</sup>(Si<sub>3</sub>Fe<sup>3+</sup>O<sub>10</sub>)(OH)<sub>8</sub>,Mn Fe Si O H,,2122,1955,"Approved, Grandfathered","Chlorite, Clay",orthorhombic,,Mn^2+ Fe^3+ Si O H,Gye,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
Goosecreekite,Goosecreekite,Goosecreekite,Ca(Si6Al2)O16·5H2O,Ca(Si_6_Al_2_)O_16_·5H_2_O,Ca(Si<sub>6</sub>Al<sub>2</sub>)O<sub>16</sub>·5H<sub>2</sub>O,Ca(Si<sub>6</sub>Al<sub>2</sub>)O<sub>16</sub>·5H<sub>2</sub>O,Ca Si Al O H,,2123,1980,Approved,,monoclinic,P21,Ca Si Al O H,Gck,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration"
Gorbunovite,Gorbunovite,Gorbunovite,"CsLi2(Ti3+,Fe3+)Si4O10(F,OH,O)2","CsLi_2_(Ti^3+^,Fe^3+^)Si_4_O_10_(F,OH,O)_2_","CsLi<sub>2</sub>(Ti<sup>3+</sup>,Fe<sup>3+</sup>)Si<sub>4</sub>O<sub>10</sub>(F,OH,O)<sub>2</sub>","CsLi<sub>2</sub>(Ti,Fe<sup>3+</sup>)Si<sub>4</sub>O<sub>10</sub>(F,OH,O)<sub>2</sub>",Cs Li Ti Fe Si O F H,,6683,2017,Approved,Mica,monoclinic,C2/m,Cs Li Ti^3+ Fe^3+ Si O F H,Gbv,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
Gorceixite,Gorceixite,Gorceixite,BaAl3(PO4)(PO3OH)(OH)6,BaAl_3_(PO_4_)(PO_3_OH)(OH)_6_,BaAl<sub>3</sub>(PO<sub>4</sub>)(PO<sub>3</sub>OH)(OH)<sub>6</sub>,BaAl<sub>3</sub>(PO<sub>4</sub>)(PO<sub>3</sub>OH)(OH)<sub>6</sub>,Ba Al P O H,,2124,1906,"Approved, Grandfathered",Alunite-Crandallite,"monoclinic, hexagonal","R3m, R3m, Cm",Ba Al P O H,Gcx,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM48 - Soil leaching zone minerals"
Gordaite,Gordaite,Gordaite,NaZn2+4(S6+O4)(OH)6Cl·6H2O,NaZn^2+^_4_(S^6+^O_4_)(OH)_6_Cl·6H_2_O,NaZn<sup>2+</sup><sub>4</sub>(S<sup>6+</sup>O<sub>4</sub>)(OH)<sub>6</sub>Cl·6H<sub>2</sub>O,NaZn<sub>4</sub>(SO<sub>4</sub>)(OH)<sub>6</sub>Cl·6H<sub>2</sub>O,Na Zn S O H Cl,,2125,1996,Approved,Ktenasite,hexagonal,P3,Na Zn^2+ S^6+ O H Cl,Gda,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Gordonite,Gordonite,Gordonite,MgAl2(PO4)2(OH)2·8H2O,MgAl_2_(PO_4_)_2_(OH)_2_·8H_2_O,MgAl<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·8H<sub>2</sub>O,MgAl<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·8H<sub>2</sub>O,Mg Al P O H,,2126,1930,"Approved, Grandfathered",Laueite,triclinic,P1,Mg Al P O H,Gdo,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM21 - Chemical precipitation, PM31 - Contact metamorphism"
Gorerite,Gorerite,Gorerite,CaAlFe3+11O19,CaAlFe^3+^_11_O_19_,CaAlFe<sup>3+</sup><sub>11</sub>O<sub>19</sub>,CaAlFe<sup>3+</sup><sub>11</sub>O<sub>19</sub>,Ca Al Fe O,,6964,2019,Approved,Magnetoplumbite,hexagonal,P63/mmc,Ca Al Fe^3+ O,Gor,"Biotic; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
Görgeyite,Gorgeyite,Görgeyite,K2Ca5(S6+O4)6·H2O,K_2_Ca_5_(S^6+^O_4_)_6_·H_2_O,K<sub>2</sub>Ca<sub>5</sub>(S<sup>6+</sup>O<sub>4</sub>)<sub>6</sub>·H<sub>2</sub>O,K<sub>2</sub>Ca<sub>5</sub>(SO<sub>4</sub>)<sub>6</sub>·H<sub>2</sub>O,K Ca S O H,,2127,1953,"Approved, Grandfathered",,monoclinic,"C2/c, B2/b",K Ca S^6+ O H,Gög,"Abiotic, Biotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic), Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
Gormanite,Gormanite,Gormanite,Fe2+3Al4(PO4)4(OH)6·2H2O,Fe^2+^_3_Al_4_(PO_4_)_4_(OH)_6_·2H_2_O,Fe<sup>2+</sup><sub>3</sub>Al<sub>4</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>6</sub>·2H<sub>2</sub>O,Fe<sup>2+</sup><sub>3</sub>Al<sub>4</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>6</sub>·2H<sub>2</sub>O,Fe Al P O H,,2128,1977,Approved,Souzalite,triclinic,P1,Fe^2+ Al P O H,Gm,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM21 - Chemical precipitation, PM22 - Near-surface hydration, PM31 - Contact metamorphism"
Gortdrumite,Gortdrumite,Gortdrumite,Cu24Fe2Hg9S23,Cu_24_Fe_2_Hg_9_S_23_,Cu<sub>24</sub>Fe<sub>2</sub>Hg<sub>9</sub>S<sub>23</sub>,Cu<sub>24</sub>Fe<sub>2</sub>Hg<sub>9</sub>S<sub>23</sub>,Cu Fe Hg S,,2129,1979,Approved,,orthorhombic,,Cu Fe Hg S,Gdr,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Goryainovite,Goryainovite,Goryainovite,Ca2(PO4)Cl,Ca_2_(PO_4_)Cl,Ca<sub>2</sub>(PO<sub>4</sub>)Cl,Ca<sub>2</sub>(PO<sub>4</sub>)Cl,Ca P O Cl,,6490,2015,Approved,,orthorhombic,Pbcm,Ca P O Cl,Gyv,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Goslarite,Goslarite,Goslarite,Zn2+S6+O4·7H2O,Zn^2+^S^6+^O_4_·7H_2_O,Zn<sup>2+</sup>S<sup>6+</sup>O<sub>4</sub>·7H<sub>2</sub>O,Zn(SO<sub>4</sub>)·7H<sub>2</sub>O,Zn S O H,,2130,1845,"Approved, Grandfathered",Epsomite,orthorhombic,P212121,Zn^2+ S^6+ O H,Gos,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
Gottardiite,Gottardiite,Gottardiite,Na3Mg3Ca5Al19Si117O272·93H2O,Na_3_Mg_3_Ca_5_Al_19_Si_117_O_272_·93H_2_O,Na<sub>3</sub>Mg<sub>3</sub>Ca<sub>5</sub>Al<sub>19</sub>Si<sub>117</sub>O<sub>272</sub>·93H<sub>2</sub>O,Na<sub>3</sub>Mg<sub>3</sub>Ca<sub>5</sub>Al<sub>19</sub>Si<sub>117</sub>O<sub>272</sub>·93H<sub>2</sub>O,Na Mg Ca Al Si O H,,2131,1994,Approved,,orthorhombic,Cmca,Na Mg Ca Al Si O H,Gtt,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM10 - Basalt-hosted zeolite minerals"
Gottlobite,Gottlobite,Gottlobite,CaMg(V5+O4)(OH),CaMg(V^5+^O_4_)(OH),CaMg(V<sup>5+</sup>O<sub>4</sub>)(OH),CaMg(VO<sub>4</sub>)(OH),Ca Mg V O H,,2132,1998,Approved,Conichalcite,orthorhombic,P212121,Ca Mg V^5+ O H,Got,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Götzenite,Gotzenite,Götzenite,Ca4NaCa2Ti4+(Si2O7)2(OF)F2,Ca_4_NaCa_2_Ti^4+^(Si_2_O_7_)_2_(OF)F_2_,Ca<sub>4</sub>NaCa<sub>2</sub>Ti<sup>4+</sup>(Si<sub>2</sub>O<sub>7</sub>)<sub>2</sub>(OF)F<sub>2</sub>,Ca<sub>4</sub>NaCa<sub>2</sub>Ti(Si<sub>2</sub>O<sub>7</sub>)<sub>2</sub>(OF)F<sub>2</sub>,Ca Na Ti Si O F,,2133,1957,"Approved, Redefined",Seidozerite-Rinkite,triclinic,P1,Ca Na Ti^4+ Si O F,Göz,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Goudeyite,Goudeyite,Goudeyite,Cu2+6Al(As5+O4)3(OH)6·3H2O,Cu^2+^_6_Al(As^5+^O_4_)_3_(OH)_6_·3H_2_O,Cu<sup>2+</sup><sub>6</sub>Al(As<sup>5+</sup>O<sub>4</sub>)<sub>3</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O,Cu<sub>6</sub>Al(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O,Cu Al As O H,,2134,1978,Approved,Mixite,hexagonal,P63/m,Cu^2+ Al As^5+ O H,Gdy,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Gowerite,Gowerite,Gowerite,Ca[B5O8(OH)][B(OH)3]·3H2O,Ca[B_5_O_8_(OH)][B(OH)_3_]·3H_2_O,Ca[B<sub>5</sub>O<sub>8</sub>(OH)][B(OH)<sub>3</sub>]·3H<sub>2</sub>O,Ca[B<sub>5</sub>O<sub>8</sub>(OH)][B(OH)<sub>3</sub>]·3H<sub>2</sub>O,Ca B O H,,2135,1959,Approved,,monoclinic,P21/a,Ca B O H,Gow,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Goyazite,Goyazite,Goyazite,SrAl3(PO4)(PO3OH)(OH)6,SrAl_3_(PO_4_)(PO_3_OH)(OH)_6_,SrAl<sub>3</sub>(PO<sub>4</sub>)(PO<sub>3</sub>OH)(OH)<sub>6</sub>,SrAl<sub>3</sub>(PO<sub>4</sub>)(PO<sub>3</sub>OH)(OH)<sub>6</sub>,Sr Al P O H,,2136,1884,"Approved, Redefined",Alunite-Crandallite,hexagonal,R3m,Sr Al P O H,Goy,"Abiotic, Biotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM9 - Lava/xenolith minerals, Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM26 - Hadean detrital minerals, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM42 - Sea-floor Mn nodules, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM48 - Soil leaching zone minerals"
Graemite,Graemite,Graemite,Cu2+Te4+O3·H2O,Cu^2+^Te^4+^O_3_·H_2_O,Cu<sup>2+</sup>Te<sup>4+</sup>O<sub>3</sub>·H<sub>2</sub>O,Cu<sup>2+</sup>(Te<sup>4+</sup>O<sub>3</sub>)·H<sub>2</sub>O,Cu Te O H,,2137,1974,Approved,,orthorhombic,Pcmm,Cu^2+ Te^4+ O H,Gmi,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Graeserite,Graeserite,Graeserite,Fe3+4Ti4+3As3+O13(OH),Fe^3+^_4_Ti^4+^_3_As^3+^O_13_(OH),Fe<sup>3+</sup><sub>4</sub>Ti<sup>4+</sup><sub>3</sub>As<sup>3+</sup>O<sub>13</sub>(OH),Fe<sup>3+</sup><sub>4</sub>Ti<sub>3</sub>As<sup>3+</sup>O<sub>13</sub>(OH),Fe Ti As O H,,2138,1996,Approved,,monoclinic,C2/m,Fe^3+ Ti^4+ As^3+ O H,Gsr,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Graftonite,Graftonite,Graftonite,Fe2+Fe2+2(PO4)2,Fe^2+^Fe^2+^_2_(PO_4_)_2_,Fe<sup>2+</sup>Fe<sup>2+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>,Fe<sup>2+</sup>Fe<sup>2+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>,Fe P O,,2139,1900,"Approved, Redefined",Graftonite,monoclinic,P21/c,Fe^2+ P O,Gft,"Abiotic, Biotic, Primary; Stage 2: Planetesimal differentiation & alteration, PM5 - Primary asteroid phases, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
Graftonite-(Ca),Graftonite-(Ca),Graftonite-(Ca),CaFe2+2(PO4)2,CaFe^2+^_2_(PO_4_)_2_,CaFe<sup>2+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>,CaFe<sup>2+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>,Ca Fe P O,,6684,2017,Approved,Graftonite,monoclinic,P21/c,Ca Fe^2+ P O,Gft-Ca,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
Graftonite-(Mn),Graftonite-(Mn),Graftonite-(Mn),Mn2+Fe2+2(PO4)2,Mn^2+^Fe^2+^_2_(PO_4_)_2_,Mn<sup>2+</sup>Fe<sup>2+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>,MnFe<sup>2+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>,Mn Fe P O,,6685,2017,Approved,Graftonite,monoclinic,P21/c,Mn^2+ Fe^2+ P O,Gft-Mn,"Abiotic, Primary; Stage 2: Planetesimal differentiation & alteration, PM5 - Primary asteroid phases, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
Grahampearsonite,Grahampearsonite,Grahampearsonite,Ca2P2O7,Ca_2_P_2_O_7_,Ca<sub>2</sub>P<sub>2</sub>O<sub>7</sub>,Ca<sub>2</sub>P<sub>2</sub>O<sub>7</sub>,Ca P O,,7587,2025,Approved,Percleveite,tetragonal,P41,Ca P O,Gps,
Gramaccioliite-(Y),Gramaccioliite-(Y),Gramaccioliite-(Y),"(Pb2+,Sr)(Y,Mn2+)Fe3+2(Ti4+,Fe3+)18O38","(Pb^2+^,Sr)(Y,Mn^2+^)Fe^3+^_2_(Ti^4+^,Fe^3+^)_18_O_38_","(Pb<sup>2+</sup>,Sr)(Y,Mn<sup>2+</sup>)Fe<sup>3+</sup><sub>2</sub>(Ti<sup>4+</sup>,Fe<sup>3+</sup>)<sub>18</sub>O<sub>38</sub>","(Pb,Sr)(Y,Mn)Fe<sup>3+</sup><sub>2</sub>(Ti,Fe<sup>3+</sup>)<sub>18</sub>O<sub>38</sub>",Pb Sr Y Mn Fe Ti O,,2140,2001,Approved,Crichtonite,hexagonal,R3,Pb^2+ Sr Y Mn^2+ Fe^3+ Ti^4+ O,Gmc-Y,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM23 - Subaerial alteration, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
Grammatikopoulosite,Grammatikopoulosite,Grammatikopoulosite,NiVP,NiVP,NiVP,NiVP,Ni V P,,6976,2020,Approved,Barringerite,orthorhombic,Pnma,Ni V P,Gmk,"Abiotic, Secondary; Stage 5: Initiation of plate tectonics, PM38 - Ophiolites"
Grandaite,Grandaite,Grandaite,Sr2+2Al(As5+O4)2(OH),Sr^2+^_2_Al(As^5+^O_4_)_2_(OH),Sr<sup>2+</sup><sub>2</sub>Al(As<sup>5+</sup>O<sub>4</sub>)<sub>2</sub>(OH),Sr<sub>2</sub>Al(AsO<sub>4</sub>)<sub>2</sub>(OH),Sr Al As O H,,6226,2013,Approved,Brackebuschite,monoclinic,P21/m,Sr^2+ Al As^5+ O H,Grd,"Abiotic, Secondary; Stage 7: Great Oxidation Event, PM46 - Near-surface hydrothermal alterations"
Grandidierite,Grandidierite,Grandidierite,MgAl3O2(BO3)SiO4,MgAl_3_O_2_(BO_3_)SiO_4_,MgAl<sub>3</sub>O<sub>2</sub>(BO<sub>3</sub>)SiO<sub>4</sub>,MgAl<sub>3</sub>O<sub>2</sub>(BO<sub>3</sub>)(SiO<sub>4</sub>),Mg Al O B Si,,2141,1902,"Approved, Grandfathered",,orthorhombic,Pbnm,Mg Al O B Si,Gdd,"Abiotic, Primary, Secondary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
Grandreefite,Grandreefite,Grandreefite,Pb2+2(S6+O4)F2,Pb^2+^_2_(S^6+^O_4_)F_2_,Pb<sup>2+</sup><sub>2</sub>(S<sup>6+</sup>O<sub>4</sub>)F<sub>2</sub>,Pb<sub>2</sub>(SO<sub>4</sub>)F<sub>2</sub>,Pb S O F,,2142,1988,Approved,,monoclinic,A2/a,Pb^2+ S^6+ O F,Grf,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Grandviewite,Grandviewite,Grandviewite,Cu2+3Al2(S6+O4)(OH)10·H2O,Cu^2+^_3_Al_2_(S^6+^O_4_)(OH)_10_·H_2_O,Cu<sup>2+</sup><sub>3</sub>Al<sub>2</sub>(S<sup>6+</sup>O<sub>4</sub>)(OH)<sub>10</sub>·H<sub>2</sub>O,Cu<sub>3</sub>Al<sub>2</sub>(SO<sub>4</sub>)(OH)<sub>10</sub>·H<sub>2</sub>O,Cu Al S O H,,5574,2007,"Approved, Redefined",,"monoclinic, triclinic",P1,Cu^2+ Al S^6+ O H,Gvw,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Grantsite,Grantsite,Grantsite,"(Na,Ca)2+x(V5+,V4+)6O16·4H2O","(Na,Ca)_2+x_(V^5+^,V^4+^)_6_O_16_·4H_2_O","(Na,Ca)<sub>2+x</sub>(V<sup>5+</sup>,V<sup>4+</sup>)<sub>6</sub>O<sub>16</sub>·4H<sub>2</sub>O","(Na,Ca)<sub>2+x</sub>(V<sup>5+</sup>,V<sup>4+</sup>)<sub>6</sub>O<sub>16</sub>·4H<sub>2</sub>O",Na Ca V O H,,2143,1964,Approved,Hewettite,monoclinic,,Na Ca V^5+ V^4+ O H,Gs,"Biotic, Secondary; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM53 - Other minerals with taphonomic origins, Stage 10b: Anthropogenic minerals, PM56 - Slag and smelter minerals"
