source_index,target_index,neighbor_rank,distance
1824,3611,9,1.0732751901554036
1824,655,10,1.1007402549604028
1825,3946,1,0.21756213940605656
1825,5698,2,0.48236985756881035
1825,907,3,1.0216435906675132
1825,4498,4,1.0222372474477484
1825,5106,5,1.0239670953184252
1825,2170,6,1.030961883992665
1825,3203,7,1.0337422202380493
1825,5640,8,1.0451326588392111
1825,2591,9,1.0557199609295973
1825,666,10,1.0563883104263474
1826,3065,1,0.3720373804580502
1826,2997,2,0.43746986704613744
1826,4460,3,0.5148797791977971
1826,4725,4,0.5205904106230895
1826,4727,5,0.5292992998080296
1826,4726,6,0.5292992998080296
1826,308,7,0.6455362050399864
1826,4398,8,0.6576405171239731
1826,2012,9,0.6650646085829739
1826,3991,10,0.6730271308927674
1827,3565,1,0.24801569760072645
1827,2654,2,0.8067905107080592
1827,1048,3,0.9868472183132756
1827,4890,4,0.9898641419410799
1827,4770,5,1.0426636472410775
1827,1032,6,1.2288010622563568
1827,4576,7,1.328604436299061
1827,5932,8,1.3951029013314822
1827,4904,9,1.3951132693909285
1827,1355,10,1.4416350665665663
1828,1831,1,0.016062227294482118
1828,1830,2,0.10995047899189717
1828,310,3,0.15998106629284872
1828,311,4,0.1604651609995846
1828,1621,5,0.19580049049264722
1828,5930,6,0.2620244569629175
1828,2134,7,0.3609540634929333
1828,1219,8,0.37879031683786357
1828,314,9,0.3800839283005989
1828,313,10,0.38462774047198744
1829,2120,1,0.4096912629037691
1829,3281,2,0.7384535648897765
1829,150,3,0.7758900681226942
1829,1353,4,0.8022094657084549
1829,1831,5,0.8202894833855086
1829,1828,6,0.820321335850844
1829,1830,7,0.8273231611621483
1829,5015,8,0.8320618968912724
1829,311,9,0.8356828999697359
1829,310,10,0.8357757089221086
1830,1831,1,0.10685190178361037
1830,1828,2,0.10995047899189717
1830,311,3,0.19309476129051106
1830,310,4,0.19412122347308558
1830,1621,5,0.1973937066845667
1830,5930,6,0.291069430347774
1830,2134,7,0.35230953651344243
1830,4467,8,0.3697380172609907
1830,314,9,0.3718843450840787
1830,1219,10,0.37225620891944583
1831,1828,1,0.016062227294482118
1831,1830,2,0.10685190178361037
1831,311,3,0.16030224700662762
1831,310,4,0.16078537470118237
1831,1621,5,0.18783971222068582
1831,5930,6,0.2554405068253429
1831,2134,7,0.3598374669039438
1831,1219,8,0.3784066767492131
1831,314,9,0.37902369211990056
1831,313,10,0.38358006384106563
1832,4861,1,1.2474164198324087
1832,101,2,1.5207411409282048
1832,6113,3,1.5466945774793832
1832,6218,4,1.5786955306230643
1832,4043,5,1.595960791393974
1832,3708,6,1.6098546784050691
1832,5956,7,1.6127681103664189
1832,4095,8,1.6129476660459083
1832,2142,9,1.6184715656112274
1832,3976,10,1.6342813885405438
1833,5253,1,0.850806502666692
1833,1261,2,0.9213118313597424
1833,5461,3,1.0819840639743277
1833,5458,4,1.1195751463470045
1833,5460,5,1.1239579629349565
1833,1177,6,1.1370025522871867
